149.23193918426475 (40.77545, -73.95043) (40.68578, -73.94338) 9999
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 9999
148.6404074439605 (40.68466, -73.9296) (40.76801, -73.96361) 9999
149.2225220673019 (40.77613, -73.94977) (40.68681, -73.94401) 9999
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 137
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
148.63712646254857 (40.76801, -73.96361) (40.68408, -73.9288) 9999
148.63705006816943 (40.68488, -73.92887) (40.76801, -73.96361) 9999
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 9999
163.7071536331883 (40.73599, -73.84452) (40.72883, -73.96002) 9999
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 9999
148.63705006816943 (40.68488, -73.92887) (40.76801, -73.96361) 9999
149.2195843525731 (40.68656, -73.94428) (40.77667, -73.94955) 9999
163.7071536331883 (40.73599, -73.84452) (40.72883, -73.96002) 9999
149.23135498924606 (40.68783, -73.9446) (40.77769, -73.94881) 9999
148.63705006816943 (40.68488, -73.92887) (40.76801, -73.96361) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 9999
149.22470187446598 (40.77593, -73.94977) (40.68651, -73.94395) 9999
148.6404074439605 (40.76801, -73.96361) (40.68466, -73.9296) 9999
149.2195843525731 (40.68656, -73.94428) (40.77667, -73.94955) 9999
148.63705006816943 (40.76801, -73.96361) (40.68488, -73.92887) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 137
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 152
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 162
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 152
150.13440262129933 (40.70457, -73.96231) (40.78106, -73.91137) 153
163.7071536331883 (40.72883, -73.96002) (40.73599, -73.84452) 178
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
149.21945226815467 (40.68653, -73.94459) (40.77667, -73.94955) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 153
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 157
149.21964617329124 (40.77667, -73.95038) (40.68681, -73.94401) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
150.13440262129933 (40.78106, -73.91137) (40.70457, -73.96231) 153
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.76801, -73.96361) (40.68462, -73.92895) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
163.7071536331883 (40.72883, -73.96002) (40.73599, -73.84452) 181
149.22447146635864 (40.77769, -73.94881) (40.68763, -73.94493) 9999
148.63472372188153 (40.68462, -73.92895) (40.76801, -73.96361) 9999
