23.25397591548528 [(40.72896376063814, -73.8113909314582), (40.72151051712851, -73.9860975948148), (40.67520278082325, -73.97364177005963), (40.69282142004882, -73.92891522839851), (40.65314595984733, -73.77395641162376), (40.76419353664195, -73.93667907507758), (40.812572297967414, -73.94851862192978), (40.86003066180345, -73.88194582774992), (40.7411439674219, -73.88096939743569), (40.75716443332924, -73.9847216839517), (40.61649710843917, -74.07908479177479), (40.63170754453018, -73.95009138778245)]
22.12032864334675 [(40.72385798389379, -73.9946045182244), (40.752897576688284, -73.90157037730658), (40.612401463282396, -74.10536282298523), (40.70992768758028, -73.79386436007914), (40.59190074140098, -73.79695703690814), (40.68455627685764, -73.91710342500181), (40.625788115941006, -73.97455886655572), (40.676315519069114, -73.96588896747741), (40.85955033649954, -73.8839887513507), (40.71407393652849, -73.95040963795194), (40.75944685815085, -73.98014789659103), (40.80895084546086, -73.94880390920888)]
23.690719048508967 [(40.612401463282396, -74.10536282298523), (40.719428229558154, -73.94958056133471), (40.68059284668904, -73.95136027867605), (40.80780617091569, -73.94870610682345), (40.72401950223907, -73.99452770321481), (40.75931828245913, -73.98073451611305), (40.75298086025768, -73.88938432208704), (40.62590646995239, -73.9547280625664), (40.85939232223652, -73.88461400765061), (40.68710788404214, -73.91215649752672), (40.66556186652194, -73.99363495400769), (40.682021332796616, -73.78600089532056)]
22.29148755086364 [(40.71854922891098, -73.99464314279231), (40.72940192475868, -73.8140996845288), (40.64292845198003, -73.97235286841112), (40.69878344224557, -73.95309893018512), (40.61245997100474, -74.10476841923092), (40.7647787384794, -73.9372061902949), (40.65445848293266, -73.77355424636647), (40.756654143051, -73.98448444300341), (40.81262036149223, -73.94854430126125), (40.745840082734304, -73.88347983912597), (40.86003066180345, -73.88194582774992), (40.68365630509324, -73.91557545883099)]
23.379704875195632 [(40.73950257920605, -73.82347490469759), (40.66108757486261, -73.77234173531701), (40.626902734134, -73.97344402099715), (40.74068223623676, -73.98938976204882), (40.66442037490894, -73.88018656682333), (40.754273945567974, -73.90646798833096), (40.857104273073865, -73.89342876326843), (40.80020515841858, -73.95291861256226), (40.68809036869931, -73.92564915252399), (40.71670917251124, -73.9519811357033), (40.61242116130835, -74.10516736815492), (40.67761211943078, -73.96938507234742)]
21.580152168966087 [(40.754388421930564, -73.90667378437612), (40.72387483173491, -73.99460197096941), (40.73165023425949, -73.82566358277668), (40.808916626887545, -73.94883859452938), (40.759410025867005, -73.98028294193007), (40.713595964094814, -73.95053127352767), (40.62559587543719, -73.97434898359633), (40.65842415900209, -73.77351518251682), (40.676238424811146, -73.96614207742117), (40.612401463282396, -74.10536282298523), (40.68453829769583, -73.91761413823042), (40.85956353917014, -73.88407479903421)]
22.72713559427389 [(40.62728970785572, -73.94954343021715), (40.75420404169212, -73.90707160615086), (40.86329581298245, -73.86498646491735), (40.692960383163786, -73.92813130236296), (40.79040107310086, -73.95645145853551), (40.65863114385171, -73.77289885193348), (40.720764512420594, -73.98527831868967), (40.729028592116826, -73.8279300456603), (40.830617475576794, -73.93712350328511), (40.617081535296464, -74.08019509204642), (40.75451996863381, -73.98481562466208), (40.67401128289073, -73.97176049635024)]
22.85392411926659 [(40.72217938715354, -73.99472428533585), (40.82908651921163, -73.93834559868665), (40.68469501713173, -73.91812150615606), (40.78332926699488, -73.94700612482643), (40.625844833320315, -73.97432512887619), (40.74274279063604, -73.86401222923034), (40.75629196021349, -73.98463995060797), (40.612401463282396, -74.10536282298523), (40.67668433044628, -73.9650532713563), (40.717985651451265, -73.9482479808744), (40.86311565228682, -73.86523344897034), (40.672277322934576, -73.7801616595617)]
21.580144138676694 [(40.684543449652914, -73.91766969570138), (40.67628637006168, -73.96616145463862), (40.8089794336152, -73.94881927728602), (40.754402991450874, -73.90670200331348), (40.72389291231377, -73.99460099587375), (40.625700902669934, -73.9742994845987), (40.65842415900209, -73.77351518251682), (40.71362943760379, -73.9505463334509), (40.612401463282396, -74.10536282298523), (40.759443423719105, -73.98024115435173), (40.859588914903235, -73.88405279807112), (40.73158094780968, -73.82578414452621)]
21.759642851496245 [(40.75421037809596, -73.90690131690988), (40.69862885087121, -73.95302173223517), (40.683793955508854, -73.91544020035623), (40.64270884387845, -73.97218690241002), (40.79032889331497, -73.95658159973065), (40.71765045739287, -73.99466726183388), (40.65844265314751, -73.7735630293015), (40.830574941178035, -73.937138817593), (40.86329581298245, -73.86498646491735), (40.73199898684865, -73.82546296873346), (40.753913091496464, -73.98414624277665), (40.61245997100474, -74.10476841923092)]
