25.234896226739156 [(40.684759299385554, -73.91733801836789), (40.717173594120624, -73.94946517432972), (40.759393860156656, -73.98034960345392), (40.72383595082976, -73.99460566805031), (40.62582797991065, -73.97417531722347), (40.8594084481009, -73.88450209317948), (40.808219179542014, -73.94871487101794), (40.67672919776239, -73.96545517657587), (40.75291302023846, -73.89037409388355), (40.61242116130835, -74.10516736815492), (40.68217432517773, -73.78718040808211)]
23.691353746216606 [(40.80824960080105, -73.94910210454155), (40.75781008210721, -73.98028711267237), (40.85943998169781, -73.8846022020544), (40.75437353394731, -73.90691236313648), (40.73204953051469, -73.82551622830934), (40.65844265314751, -73.7735630293015), (40.64296213080661, -73.97236930779621), (40.61245997100474, -74.10476841923092), (40.683821767608634, -73.91559372986842), (40.69860985144347, -73.95326297005309), (40.71965166231205, -73.99479553694019)]
25.234895693513497 [(40.71735042867297, -73.94944713775966), (40.72372938567312, -73.99461317621032), (40.80794433996887, -73.94872329654169), (40.85939232223652, -73.88461400765061), (40.68196896709222, -73.78709671789838), (40.67673794911753, -73.96536401284857), (40.75927410854905, -73.98054468030458), (40.62582797991065, -73.97417531722347), (40.61242116130835, -74.10516736815492), (40.684786429306044, -73.91732447226944), (40.75287630844169, -73.89007522430998)]
23.691354831594225 [(40.80825625075965, -73.94910114487915), (40.719670581545145, -73.99479798364911), (40.85943998169781, -73.8846022020544), (40.75437353394731, -73.90691236313648), (40.73204953051469, -73.82551622830934), (40.642972304349506, -73.97239201572025), (40.61245997100474, -74.10476841923092), (40.65844265314751, -73.7735630293015), (40.683813125846314, -73.91559719186486), (40.69860821254757, -73.9532677886005), (40.757814727544336, -73.98027980027373)]
25.301277557627568 [(40.61242116130835, -74.10516736815492), (40.68502685274963, -73.91850689472263), (40.8030859382277, -73.9466116602869), (40.858984968063, -73.886986575535), (40.72378766875069, -73.94613042322833), (40.72327587884694, -73.99465293186951), (40.67724450097872, -73.96486088642752), (40.74528049890026, -73.86851201520592), (40.67431996717924, -73.78155823975672), (40.75854750757929, -73.9817585288309), (40.6260890967941, -73.9740547035004)]
25.234940266604422 [(40.80785732159814, -73.94871143851766), (40.85939232223652, -73.88461400765061), (40.752832565796375, -73.88978973276956), (40.72357231366812, -73.99463226525981), (40.71742647442819, -73.94941202176156), (40.67672088089726, -73.96514079270273), (40.612401463282396, -74.10536282298523), (40.68480589497768, -73.91720083481437), (40.75922578994327, -73.9806006922395), (40.62586781997878, -73.97428206837264), (40.68177290719426, -73.78680284158735)]
26.87476186166546 [(40.75373527501495, -73.98283797875553), (40.6168415450783, -74.0177823424545), (40.65842415900209, -73.77351518251682), (40.68747054545569, -73.95750184764044), (40.790542002030946, -73.95650902637983), (40.68294860308418, -73.91640329180218), (40.73176791820099, -73.82562197285577), (40.719932446088684, -73.99454149836902), (40.75407617646176, -73.90692368029896), (40.86329581298245, -73.86498646491735), (40.83064373967151, -73.93711588444323)]
23.69135804927297 [(40.85943022678604, -73.88467763730806), (40.75437353394731, -73.90691236313648), (40.73204953051469, -73.82551622830934), (40.808196960484835, -73.94912449639993), (40.719596968777026, -73.99479802336124), (40.698607108464195, -73.95323252815868), (40.65844265314751, -73.7735630293015), (40.75776626538952, -73.98031865977848), (40.683806708525, -73.91556542753075), (40.61245997100474, -74.10476841923092), (40.64295116851732, -73.97236021159831)]
23.69135289055665 [(40.73204953051469, -73.82551622830934), (40.71963208189055, -73.99479833582136), (40.68382210500869, -73.91558871385627), (40.80824960080105, -73.94910210454155), (40.757797225535235, -73.98029561951337), (40.69860736330364, -73.95326062654155), (40.61245997100474, -74.10476841923092), (40.65844265314751, -73.7735630293015), (40.75437353394731, -73.90691236313648), (40.85943998169781, -73.8846022020544), (40.64296213080661, -73.97236930779621)]
23.691355147083414 [(40.64300036955106, -73.9723611856722), (40.61245997100474, -74.10476841923092), (40.808196960484835, -73.94912449639993), (40.73206664354445, -73.82547948463632), (40.754387817280865, -73.9069214140802), (40.75775308009619, -73.98032631648603), (40.68379764958048, -73.91545105432186), (40.719549000559084, -73.99479171424282), (40.85943022678604, -73.88467763730806), (40.65844265314751, -73.7735630293015), (40.698599191672315, -73.95313314980827)]
26.971902015627872 [(40.86329581298245, -73.86498646491735), (40.7541408822358, -73.90683630489451), (40.75370972156476, -73.98348526257223), (40.7904183101221, -73.95657261716245), (40.65842415900209, -73.77351518251682), (40.68125508417744, -73.91688153075708), (40.71835693511967, -73.99482164199924), (40.63036629601578, -74.00136368040447), (40.693290275840084, -73.95465909411502), (40.830598673743864, -73.93712593300457), (40.73173841708165, -73.82565268953071)]
25.709684639888778 [(40.754128287389584, -73.90766428406641), (40.85728931889772, -73.89299801274048), (40.80040291268032, -73.95283062501362), (40.6434271392299, -73.97378970869363), (40.699743663593395, -73.95949594186648), (40.661149050551906, -73.7723293192188), (40.68751128802234, -73.9254151001297), (40.74071349417096, -73.98866683855954), (40.66381943392897, -73.88087816809889), (40.7393637960473, -73.82416190023311), (40.612439140058164, -74.10496927507432)]
