56.62205535565988 [(40.697512804559366, -73.80241286382685), (40.741476779052746, -73.98473507408433), (40.653824035477975, -73.9826245034594), (40.80838977200105, -73.93238156191848), (40.69839249912736, -73.92841989469953)]
56.621858096868834 [(40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976), (40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518), (40.65333459583419, -73.98284433723764)]
56.62205535565988 [(40.80838977200105, -73.93238156191848), (40.697512804559366, -73.80241286382685), (40.69839249912736, -73.92841989469953), (40.741476779052746, -73.98473507408433), (40.653824035477975, -73.9826245034594)]
61.083555994674036 [(40.852129503609305, -73.90135351362906), (40.73468534660798, -73.98763840331974), (40.78309520164018, -73.93990151077887), (40.67689047648795, -73.94817413368824), (40.69889629511201, -73.81046180499244)]
56.621858096868834 [(40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976), (40.69829145817016, -73.92864795429168), (40.65333459583419, -73.98284433723764)]
56.622039554790604 [(40.697512804559366, -73.80241286382685), (40.808392662606416, -73.93237622747995), (40.7415003734579, -73.98475184284604), (40.65374663290513, -73.98267815797223), (40.6983881654749, -73.92848977744548)]
56.62185809686883 [(40.65333459583419, -73.98284433723764), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976), (40.69758673777301, -73.80248485418063), (40.69829145817016, -73.92864795429168)]
56.62185244348503 [(40.698295231289464, -73.92864188120954), (40.741411789568694, -73.98478350473518), (40.65333459583419, -73.98284433723764), (40.808330410618545, -73.93239284030462), (40.697534876010415, -73.8024396916628)]
56.621858096868834 [(40.65333459583419, -73.98284433723764), (40.80833425974367, -73.93240422832976), (40.741411789568694, -73.98478350473518), (40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063)]
56.62205535565988 [(40.69839249912736, -73.92841989469953), (40.741476779052746, -73.98473507408433), (40.697512804559366, -73.80241286382685), (40.80838977200105, -73.93238156191848), (40.653824035477975, -73.9826245034594)]
56.622039554790604 [(40.6983881654749, -73.92848977744548), (40.697512804559366, -73.80241286382685), (40.808392662606416, -73.93237622747995), (40.65374663290513, -73.98267815797223), (40.7415003734579, -73.98475184284604)]
56.62185809686883 [(40.741411789568694, -73.98478350473518), (40.69829145817016, -73.92864795429168), (40.65333459583419, -73.98284433723764), (40.80833425974367, -73.93240422832976), (40.69758673777301, -73.80248485418063)]
56.62205535565988 [(40.69839249912736, -73.92841989469953), (40.741476779052746, -73.98473507408433), (40.80838977200105, -73.93238156191848), (40.697512804559366, -73.80241286382685), (40.653824035477975, -73.9826245034594)]
56.622039554790604 [(40.697512804559366, -73.80241286382685), (40.808392662606416, -73.93237622747995), (40.7415003734579, -73.98475184284604), (40.65374663290513, -73.98267815797223), (40.6983881654749, -73.92848977744548)]
56.62205535565988 [(40.697512804559366, -73.80241286382685), (40.653824035477975, -73.9826245034594), (40.741476779052746, -73.98473507408433), (40.80838977200105, -73.93238156191848), (40.69839249912736, -73.92841989469953)]
56.621858096868834 [(40.65333459583419, -73.98284433723764), (40.741411789568694, -73.98478350473518), (40.69758673777301, -73.80248485418063), (40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976)]
56.622039554790604 [(40.65374663290513, -73.98267815797223), (40.7415003734579, -73.98475184284604), (40.697512804559366, -73.80241286382685), (40.808392662606416, -73.93237622747995), (40.6983881654749, -73.92848977744548)]
56.621858096868834 [(40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764), (40.80833425974367, -73.93240422832976), (40.741411789568694, -73.98478350473518)]
56.621858096868834 [(40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976)]
56.621858096868834 [(40.741411789568694, -73.98478350473518), (40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764), (40.80833425974367, -73.93240422832976)]
56.62205535565988 [(40.653824035477975, -73.9826245034594), (40.697512804559366, -73.80241286382685), (40.80838977200105, -73.93238156191848), (40.69839249912736, -73.92841989469953), (40.741476779052746, -73.98473507408433)]
56.62185809686883 [(40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976), (40.65333459583419, -73.98284433723764)]
61.08203023347708 [(40.84112559291539, -73.91718146558256), (40.6768799753475, -73.9480202456886), (40.77624929167384, -73.93810758111695), (40.73458646713594, -73.98787311264917), (40.69713444779067, -73.80699841089158)]
56.62185809686883 [(40.65333459583419, -73.98284433723764), (40.741411789568694, -73.98478350473518), (40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976), (40.69758673777301, -73.80248485418063)]
56.621858096868834 [(40.80833425974367, -73.93240422832976), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168), (40.741411789568694, -73.98478350473518)]
61.083555994674036 [(40.78309520164018, -73.93990151077887), (40.67689047648795, -73.94817413368824), (40.852129503609305, -73.90135351362906), (40.69889629511201, -73.81046180499244), (40.73468534660798, -73.98763840331974)]
61.083555994674036 [(40.67689047648795, -73.94817413368824), (40.852129503609305, -73.90135351362906), (40.73468534660798, -73.98763840331974), (40.69889629511201, -73.81046180499244), (40.78309520164018, -73.93990151077887)]
56.62205535565988 [(40.69839249912736, -73.92841989469953), (40.741476779052746, -73.98473507408433), (40.80838977200105, -73.93238156191848), (40.697512804559366, -73.80241286382685), (40.653824035477975, -73.9826245034594)]
60.04329764188161 [(40.73755088988549, -73.89535141298323), (40.81821534151271, -73.93620907681895), (40.74025728143864, -73.98240846547972), (40.683479395648675, -73.78901113859999), (40.67366856390367, -73.95467168984561)]
56.621858096868834 [(40.69829145817016, -73.92864795429168), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764)]
61.08203051930994 [(40.69713444779067, -73.80699841089158), (40.73458876275271, -73.98788013682102), (40.77624929167384, -73.93810758111695), (40.676886775907455, -73.9480199328127), (40.84112559291539, -73.91718146558256)]
56.62186782817663 [(40.741448322412715, -73.98476994448203), (40.80836576701571, -73.93239522379704), (40.69758673777301, -73.80248485418063), (40.65341316038444, -73.98285530024567), (40.69830271188719, -73.9286367053708)]
56.621858096868834 [(40.741411789568694, -73.98478350473518), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976)]
61.09612764350568 [(40.697270767799765, -73.80724841559905), (40.73460424621962, -73.98779672964558), (40.84460710962282, -73.91287020008406), (40.67688481428336, -73.94800248050932), (40.778501456773355, -73.93858418493039)]
56.621858096868834 [(40.65333459583419, -73.98284433723764), (40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518), (40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976)]
56.62205535565988 [(40.80838977200105, -73.93238156191848), (40.653824035477975, -73.9826245034594), (40.69839249912736, -73.92841989469953), (40.741476779052746, -73.98473507408433), (40.697512804559366, -73.80241286382685)]
61.082030233477084 [(40.73458646713594, -73.98787311264917), (40.84112559291539, -73.91718146558256), (40.6768799753475, -73.9480202456886), (40.77624929167384, -73.93810758111695), (40.69713444779067, -73.80699841089158)]
61.08357822122912 [(40.6986146755279, -73.80991840977822), (40.78302375809971, -73.9397329932701), (40.67688562248135, -73.94814206021879), (40.734697911206254, -73.98763116266048), (40.852092209258906, -73.90132488803323)]
60.04329764188161 [(40.74025728143864, -73.98240846547972), (40.67366856390367, -73.95467168984561), (40.683479395648675, -73.78901113859999), (40.73755088988549, -73.89535141298323), (40.81821534151271, -73.93620907681895)]
56.621858096868834 [(40.80833425974367, -73.93240422832976), (40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518)]
56.62205535565988 [(40.653824035477975, -73.9826245034594), (40.697512804559366, -73.80241286382685), (40.80838977200105, -73.93238156191848), (40.741476779052746, -73.98473507408433), (40.69839249912736, -73.92841989469953)]
56.621858096868834 [(40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764), (40.80833425974367, -73.93240422832976), (40.69829145817016, -73.92864795429168), (40.741411789568694, -73.98478350473518)]
61.083555994674036 [(40.78309520164018, -73.93990151077887), (40.73468534660798, -73.98763840331974), (40.67689047648795, -73.94817413368824), (40.852129503609305, -73.90135351362906), (40.69889629511201, -73.81046180499244)]
56.62185809686883 [(40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976), (40.65333459583419, -73.98284433723764)]
56.621858096868834 [(40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976), (40.741411789568694, -73.98478350473518), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764)]
56.621858096868834 [(40.741411789568694, -73.98478350473518), (40.69758673777301, -73.80248485418063), (40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976)]
56.6220395547906 [(40.697512804559366, -73.80241286382685), (40.6983881654749, -73.92848977744548), (40.65374663290513, -73.98267815797223), (40.808392662606416, -73.93237622747995), (40.7415003734579, -73.98475184284604)]
61.083555994674036 [(40.69889629511201, -73.81046180499244), (40.78309520164018, -73.93990151077887), (40.67689047648795, -73.94817413368824), (40.73468534660798, -73.98763840331974), (40.852129503609305, -73.90135351362906)]
56.621858096868834 [(40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976), (40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168)]
56.62185809686883 [(40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976), (40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063)]
60.04329764188161 [(40.73755088988549, -73.89535141298323), (40.74025728143864, -73.98240846547972), (40.67366856390367, -73.95467168984561), (40.683479395648675, -73.78901113859999), (40.81821534151271, -73.93620907681895)]
56.62185809686883 [(40.741411789568694, -73.98478350473518), (40.65333459583419, -73.98284433723764), (40.80833425974367, -73.93240422832976), (40.69758673777301, -73.80248485418063), (40.69829145817016, -73.92864795429168)]
56.622039554790604 [(40.697512804559366, -73.80241286382685), (40.808392662606416, -73.93237622747995), (40.7415003734579, -73.98475184284604), (40.65374663290513, -73.98267815797223), (40.6983881654749, -73.92848977744548)]
56.621858096868834 [(40.80833425974367, -73.93240422832976), (40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518)]
56.622039554790604 [(40.65374663290513, -73.98267815797223), (40.808392662606416, -73.93237622747995), (40.6983881654749, -73.92848977744548), (40.7415003734579, -73.98475184284604), (40.697512804559366, -73.80241286382685)]
56.621858096868834 [(40.65333459583419, -73.98284433723764), (40.69829145817016, -73.92864795429168), (40.69758673777301, -73.80248485418063), (40.741411789568694, -73.98478350473518), (40.80833425974367, -73.93240422832976)]
56.62205535565988 [(40.741476779052746, -73.98473507408433), (40.653824035477975, -73.9826245034594), (40.69839249912736, -73.92841989469953), (40.80838977200105, -73.93238156191848), (40.697512804559366, -73.80241286382685)]
60.04329764188161 [(40.67366856390367, -73.95467168984561), (40.81821534151271, -73.93620907681895), (40.74025728143864, -73.98240846547972), (40.683479395648675, -73.78901113859999), (40.73755088988549, -73.89535141298323)]
56.621858096868834 [(40.741411789568694, -73.98478350473518), (40.69758673777301, -73.80248485418063), (40.69829145817016, -73.92864795429168), (40.80833425974367, -73.93240422832976), (40.65333459583419, -73.98284433723764)]
61.08203023347707 [(40.69713444779067, -73.80699841089158), (40.77624929167384, -73.93810758111695), (40.6768799753475, -73.9480202456886), (40.73458646713594, -73.98787311264917), (40.84112559291539, -73.91718146558256)]
61.083555994674036 [(40.67689047648795, -73.94817413368824), (40.69889629511201, -73.81046180499244), (40.78309520164018, -73.93990151077887), (40.73468534660798, -73.98763840331974), (40.852129503609305, -73.90135351362906)]
56.621858096868834 [(40.65333459583419, -73.98284433723764), (40.741411789568694, -73.98478350473518), (40.69758673777301, -73.80248485418063), (40.80833425974367, -73.93240422832976), (40.69829145817016, -73.92864795429168)]
