12.88217101888345 [(40.68350145080647, -73.94916107466082), (40.7364553637246, -73.80674548942773), (40.64810094786237, -73.94914568209458), (40.85089522377572, -73.92110240350945), (40.74470780314745, -73.87715793933751), (40.75793016351758, -73.9206685240421), (40.69189544421841, -73.9193540702964), (40.65540342754031, -73.7717623683075), (40.70903919983886, -74.00430841858645), (40.75535711363695, -73.98562448867163), (40.66914075463379, -73.87349140065817), (40.862456839725056, -73.8540105348849), (40.811948524343514, -73.94747730284776), (40.780551253160915, -73.96119064016617), (40.727761572662736, -73.99171514349196), (40.63359841557951, -74.01153460878409), (40.595660052462456, -73.96170178242566), (40.67829314331894, -73.98387667857776), (40.71668647163726, -73.95218363406829), (40.612401463282396, -74.10536282298523)]
13.293355867788485 [(40.64919490607149, -73.9458774924478), (40.74466151079746, -73.87716517515304), (40.69142153131638, -73.92108092045744), (40.75491973157213, -73.98569831283552), (40.612401463282396, -74.10536282298523), (40.78050337989891, -73.96135806418789), (40.862456839725056, -73.8540105348849), (40.74735326902215, -73.92577649892759), (40.767380076561366, -73.91686778914264), (40.85089522377572, -73.92110240350945), (40.716181778367954, -73.95211584059726), (40.65145304614755, -73.99540415330745), (40.7263356242169, -73.99279365818425), (40.811935947078624, -73.94751088348477), (40.66910518698404, -73.87321163141065), (40.5976670580987, -73.96733954411818), (40.65540342754031, -73.7717623683075), (40.7364553637246, -73.80674548942773), (40.69445088068263, -73.99744977972024), (40.683254830218736, -73.95498983372411)]
13.229512319503739 [(40.67688107690944, -73.98502956813915), (40.61589255000881, -73.99225706911714), (40.65540342754031, -73.7717623683075), (40.727515449923715, -73.99160490910747), (40.66874331679017, -73.8734766425827), (40.74469999308407, -73.87710472440284), (40.75781540648307, -73.99067331439637), (40.68323519817662, -73.94980210876189), (40.70885893757031, -74.00401215199675), (40.86214885169383, -73.85356317244526), (40.758157518185534, -73.92000055549859), (40.8525258770934, -73.919922632494), (40.75209632350113, -73.97104407433055), (40.645937640595335, -73.94815578396434), (40.715864749526965, -73.95203506999796), (40.7364553637246, -73.80674548942773), (40.81570545268129, -73.94461779190111), (40.78712414153334, -73.95967845942161), (40.612401463282396, -74.10536282298523), (40.69181764912424, -73.91949430098734)]
12.953208515892015 [(40.85598561156641, -73.91585324808341), (40.68765494874034, -73.91034729258513), (40.7192209794212, -74.0043669955952), (40.79739196532614, -73.95679457961515), (40.71566921462922, -73.95151020879646), (40.82249429193428, -73.94236159290531), (40.62818418279441, -74.00950833838854), (40.59362999760845, -73.7982628345352), (40.74589679912666, -73.98557562024338), (40.76566435717189, -73.95013982956354), (40.68226418221183, -73.94587145149409), (40.73157835924304, -73.82578954096773), (40.612401463282396, -74.10536282298523), (40.86167359166876, -73.85177742229912), (40.67924938642142, -73.98318120873807), (40.76389808122189, -73.98824994173461), (40.752994385879944, -73.90025504791085), (40.685612980793344, -73.76383036079244), (40.723530924702, -73.98764117016559), (40.63417956482017, -73.9514858066777)]
13.410548883121198 [(40.64875113244874, -73.94717817247691), (40.759861846460375, -73.92325063287065), (40.78257341963191, -73.9611803413135), (40.72224602559208, -73.99459400774491), (40.66439458635903, -73.99454065016386), (40.73623366244178, -73.80603487459513), (40.74369027204067, -73.86742803297167), (40.691236826612744, -73.92116696578209), (40.5988288181024, -73.96906817596808), (40.81342580119258, -73.9459702733757), (40.85339355870563, -73.92353352935028), (40.612401463282396, -74.10536282298523), (40.68372489107167, -73.95537051799272), (40.83108949687466, -73.86223286777097), (40.716487199118745, -73.9521203562059), (40.74501286738225, -73.89798257799295), (40.881242374065906, -73.85592273154778), (40.75424269538529, -73.98591497310633), (40.65521074046836, -73.77173261531853), (40.66865825790176, -73.87355286471048)]
12.07537700143566 [(40.68354594336964, -73.94913342279278), (40.64806204149232, -73.94905226697023), (40.71747633342964, -73.9520068983766), (40.63364058275107, -74.01158220433945), (40.69191058497216, -73.91931632055979), (40.67829121918547, -73.98386695649673), (40.672025208061974, -73.87415629828502), (40.862456839725056, -73.8540105348849), (40.811315851170164, -73.94812656396834), (40.70905668507593, -74.00429687091962), (40.778769721544634, -73.96032769414168), (40.595812269835584, -73.96259365502738), (40.85049666954773, -73.92135118707611), (40.727767673928575, -73.99168441184638), (40.68609734894753, -73.76513585251662), (40.75439047051075, -73.9058631341906), (40.75542444255059, -73.98580251601405), (40.73950793487474, -73.82628351614531), (40.59107591209707, -73.79675122960435), (40.612401463282396, -74.10536282298523)]
13.871902982346501 [(40.8789953448732, -73.85341445190055), (40.85988246790916, -73.9168872101739), (40.655520242441604, -73.7722187974797), (40.75827972419942, -73.9189749024532), (40.76740978730919, -73.95593094298913), (40.66257155840591, -73.88242865091674), (40.74337539490522, -73.87738341713165), (40.612401463282396, -74.10536282298523), (40.692131501827525, -73.92069202689846), (40.6743075656803, -73.94965511099147), (40.82756572811246, -73.9424934793793), (40.802427469988544, -73.94632493207222), (40.71488048134118, -73.9520870995336), (40.622890847290705, -73.97560888392954), (40.72301231907607, -73.99466267812258), (40.734825098767296, -73.80744149785357), (40.67844333758704, -73.9854286224399), (40.75398617818515, -73.98705314204534), (40.79201947939884, -73.97090017112104), (40.825991864459056, -73.86068703937251)]
13.105683960003061 [(40.763606138775685, -73.98847157244454), (40.75822394032655, -73.91869402992673), (40.79727531579069, -73.95670519032792), (40.86167359166876, -73.85177742229912), (40.63236738542494, -73.95234344894617), (40.73624227664923, -73.80680912765447), (40.612401463282396, -74.10536282298523), (40.67890993046806, -73.98447705639687), (40.822492904703296, -73.94237426391672), (40.691463695037235, -73.91967556760467), (40.85598561156641, -73.91585324808341), (40.628058417239416, -74.0097624132055), (40.67981051096659, -73.94960666667892), (40.71565363967526, -73.95190685001135), (40.7659614647762, -73.95661041124761), (40.744618329514196, -73.87664753571867), (40.720524017090355, -73.99576427394332), (40.66799711757306, -73.87454885541851), (40.743375248767485, -73.98582725970707), (40.655367572848824, -73.7717261798615)]
