20.0883819891469 [(40.658527298868876, -73.77348134807343), (40.75458299735084, -73.90660843393772), (40.6252076799649, -73.9556447382108), (40.612401463282396, -74.10536282298523), (40.71621200449906, -73.95108446147775), (40.67990812447156, -73.95219305621059), (40.72410601588311, -73.99451484408326), (40.85956353917014, -73.88407479903421), (40.732248227679065, -73.8252736922858), (40.68688642032484, -73.91333453482204), (40.808921178540174, -73.94883421923262), (40.75951248255534, -73.98038758517814), (40.66560884993477, -73.99371493216783)]
19.673618832421788 [(40.75551223189952, -73.98456945379117), (40.86329581298245, -73.86498646491735), (40.71411240556278, -73.95062259189852), (40.65842415900209, -73.77351518251682), (40.722137187836964, -73.9947203680743), (40.62554668387579, -73.97444207480532), (40.790542478719324, -73.95618368553545), (40.612401463282396, -74.10536282298523), (40.83069541136973, -73.9370989124799), (40.73149738932476, -73.82570406113024), (40.67615529138158, -73.9655852880675), (40.684607009959436, -73.91761918740647), (40.75425583441714, -73.90632946261324)]
19.800995669382594 [(40.75893812828724, -73.97938293554046), (40.80909000457397, -73.94883247556425), (40.724189233848314, -73.99457930274157), (40.612439140058164, -74.10496927507432), (40.63650264910352, -73.95421155062175), (40.68590006726915, -73.91438359012952), (40.59362999760845, -73.7982628345352), (40.859588914903235, -73.88405279807112), (40.75450295326984, -73.90732177143481), (40.73248116938831, -73.82862209005239), (40.68592259226012, -73.76451213188889), (40.66767810121456, -73.99147544465147), (40.69961368677152, -73.95131138848713)]
19.67362571466507 [(40.612401463282396, -74.10536282298523), (40.71411240556278, -73.95062259189852), (40.83069541136973, -73.9370989124799), (40.73157158079058, -73.82565063693644), (40.72212568067483, -73.99472212227818), (40.684597794666914, -73.91759793739364), (40.75425583441714, -73.90632946261324), (40.65842415900209, -73.77351518251682), (40.67614723431341, -73.96557441244127), (40.75550543182962, -73.98457231467897), (40.86329581298245, -73.86498646491735), (40.62552359461906, -73.97448305988017), (40.79053945122033, -73.95618946717627)]
20.648744270099918 [(40.68942340109233, -73.76469068876763), (40.61242116130835, -74.10516736815492), (40.59341307979204, -73.79814236479045), (40.72020088873392, -73.98297873889328), (40.86329581298245, -73.86498646491735), (40.69015718057963, -73.9251563804613), (40.67626483495813, -73.96698709939157), (40.79025448996591, -73.95664364103442), (40.754411087425005, -73.90774468580017), (40.72875961864719, -73.83328448790796), (40.83055878768834, -73.93714675262709), (40.75421926362347, -73.9853889896177), (40.62613777384362, -73.9734997032737)]
21.34345678890051 [(40.82913633161435, -73.93832772737285), (40.625111421573514, -73.95498177435698), (40.66521721606951, -73.99374413446719), (40.74349844826822, -73.86382761600635), (40.7192319182895, -73.94830974265975), (40.612401463282396, -74.10536282298523), (40.672590779240416, -73.77988212866288), (40.86311565228682, -73.86523344897034), (40.686874702321695, -73.9135441631132), (40.72280117957401, -73.99456115329475), (40.78342618860093, -73.94699905238708), (40.75641488671227, -73.98460008052308), (40.68006195122825, -73.9521758057053)]
19.59000176665505 [(40.8089343774422, -73.94882924668194), (40.68864453301268, -73.76450030575002), (40.67626540501467, -73.96645501836083), (40.684385677281206, -73.91834395356031), (40.72390971294617, -73.99460208072846), (40.75941957566002, -73.98027400695149), (40.612401463282396, -74.10536282298523), (40.859588914903235, -73.88405279807112), (40.62567832343437, -73.9747014033136), (40.71372835198696, -73.95061762820971), (40.75454889816149, -73.90722363702776), (40.59383615407917, -73.79842653237691), (40.730241458617904, -73.83162994574391)]
20.81435881687425 [(40.71756842423524, -73.99454256138819), (40.863097726720056, -73.85729496104729), (40.6426027605835, -73.97220521674704), (40.763842462228844, -73.95091239928705), (40.657818401054456, -73.77334246259852), (40.8453106664523, -73.92665307137541), (40.752696857950184, -73.89994902227775), (40.69819768148813, -73.95293234901168), (40.80520467599079, -73.95242922755673), (40.683731363664, -73.9153031097747), (40.75490077597153, -73.98686468104874), (40.730955459065065, -73.82292673407252), (40.61245997100474, -74.10476841923092)]
20.81435881687425 [(40.863097726720056, -73.85729496104729), (40.6426027605835, -73.97220521674704), (40.69819768148813, -73.95293234901168), (40.61245997100474, -74.10476841923092), (40.71756842423524, -73.99454256138819), (40.683731363664, -73.9153031097747), (40.80520467599079, -73.95242922755673), (40.8453106664523, -73.92665307137541), (40.730955459065065, -73.82292673407252), (40.752696857950184, -73.89994902227775), (40.763842462228844, -73.95091239928705), (40.657818401054456, -73.77334246259852), (40.75490077597153, -73.98686468104874)]
20.08837185684957 [(40.75951248255534, -73.98038758517814), (40.859588914903235, -73.88405279807112), (40.67988597894705, -73.9522172669445), (40.732248227679065, -73.8252736922858), (40.75458299735084, -73.90660843393772), (40.66559531957475, -73.9937151041184), (40.8089251892688, -73.94882633993787), (40.71620636726289, -73.95107986485439), (40.625132623255226, -73.95562252716131), (40.72410601588311, -73.99451484408326), (40.612401463282396, -74.10536282298523), (40.658527298868876, -73.77348134807343), (40.68687985315944, -73.91334349160081)]
19.90362704011334 [(40.685913040109256, -73.91432795470165), (40.75514319241613, -73.98335783085308), (40.69967524263158, -73.95127142539708), (40.83074406755772, -73.93707548859166), (40.722913329251156, -73.99470685575079), (40.63637317390422, -73.95398558334855), (40.73209774239048, -73.82537915416832), (40.658527298868876, -73.77348134807343), (40.79073220273717, -73.95619438738788), (40.61243816627101, -74.10476081568063), (40.66762456479575, -73.99132549868919), (40.86329581298245, -73.86498646491735), (40.7543139268856, -73.9069327694359)]
20.088375747351755 [(40.72410601588311, -73.99451484408326), (40.67988133370126, -73.9521831561522), (40.665598818329, -73.9937038392934), (40.658527298868876, -73.77348134807343), (40.625132623255226, -73.95562252716131), (40.686900150746986, -73.91332179237735), (40.85956353917014, -73.88407479903421), (40.75951248255534, -73.98038758517814), (40.808921178540174, -73.94883421923262), (40.75458299735084, -73.90660843393772), (40.732248227679065, -73.8252736922858), (40.71621200449906, -73.95108446147775), (40.612401463282396, -74.10536282298523)]
19.67362228008669 [(40.86329581298245, -73.86498646491735), (40.722137187836964, -73.9947203680743), (40.6255375385874, -73.97446951825424), (40.612401463282396, -74.10536282298523), (40.67614876395482, -73.96561646619801), (40.684594746925946, -73.9176567376227), (40.75551223189952, -73.98456945379117), (40.73149738932476, -73.82570406113024), (40.65842415900209, -73.77351518251682), (40.790542478719324, -73.95618368553545), (40.714118985608415, -73.95062488864382), (40.75425583441714, -73.90632946261324), (40.83069541136973, -73.9370989124799)]
