70.18380810313953 [(40.70003402780794, -73.81232104026927), (40.80018891326998, -73.93009891324333), (40.676456546246975, -73.94981463395719), (40.73815241318782, -73.98440212307368)]
70.18380810313903 [(40.7000340274248, -73.81232103567872), (40.67645655895644, -73.94981464699558), (40.800188924877475, -73.93009892646347), (40.73815241993647, -73.98440213615443)]
70.18380810313974 [(40.700034023860205, -73.8123210311027), (40.8001889052958, -73.93009892506554), (40.67645653931889, -73.9498146480268), (40.73815241358018, -73.98440212298459)]
70.1838081031394 [(40.73815239943708, -73.98440213372923), (40.7000340279765, -73.81232104055097), (40.67645654523128, -73.94981463557862), (40.80018892229671, -73.93009891262327)]
70.18380810313907 [(40.67645655919192, -73.94981464700727), (40.800188919854186, -73.930098911453), (40.73815241961938, -73.9844021347972), (40.70003402737439, -73.81232103968314)]
70.18380810313853 [(40.738152417568834, -73.98440213300036), (40.676456560199746, -73.94981464786346), (40.70003402765862, -73.81232104245926), (40.80018892627974, -73.930098923045)]
70.18380810313988 [(40.73815239844787, -73.98440213563619), (40.70003402881314, -73.81232103648831), (40.800188905667454, -73.93009892541872), (40.67645655955049, -73.94981464985251)]
70.18380810314015 [(40.70003401631133, -73.81232103060631), (40.800188906809375, -73.93009892639691), (40.67645656169303, -73.94981464147467), (40.738152404988995, -73.98440212183311)]
