14.832598846477904 [(40.678325217247476, -73.98394779602368), (40.65652079946744, -73.77129905024361), (40.863422385474735, -73.86512219594866), (40.74913444990183, -73.80429746491043), (40.631171135371616, -73.95571306283904), (40.717338921105245, -73.95190291394981), (40.79123230013068, -73.95552358109418), (40.612401463282396, -74.10536282298523), (40.67954738987643, -73.94923383523543), (40.6926446778854, -73.9198292159157), (40.65660278813526, -73.8937388901541), (40.754636940177036, -73.90601001391059), (40.7574558854848, -73.98393476532651), (40.83125386101849, -73.93690102306843), (40.70701012304624, -73.84561595098185), (40.72997692548181, -73.99129529771437), (40.62836475549101, -74.0105754097863), (40.7116101309256, -74.00136457453425)]
14.347629877989716 [(40.75788377080867, -73.92061671278704), (40.680309574314215, -73.97961433051519), (40.650998479209306, -73.9505396212591), (40.811725035655215, -73.94764013228271), (40.717124101291844, -73.95265613070069), (40.683912918615206, -73.90161044156271), (40.744563777333745, -73.87724919055196), (40.59713672355455, -73.95976277940753), (40.612401463282396, -74.10536282298523), (40.72318714495708, -73.99473972042841), (40.78003643112509, -73.96152214112001), (40.68875832331887, -73.93774054512747), (40.8508803917541, -73.92111882859717), (40.73334210298159, -73.80763706029022), (40.75430446006743, -73.98601983554107), (40.862456839725056, -73.8540105348849), (40.63346779899457, -74.0113782170446), (40.65327080991138, -73.77475199857092)]
14.226378095755347 [(40.59362999760845, -73.7982628345352), (40.685612980793344, -73.76383036079244), (40.74306462567645, -73.98594352315577), (40.86167359166876, -73.85177742229912), (40.85598561156641, -73.91585324808341), (40.76346727892099, -73.98800983777136), (40.731257899961975, -73.82611569778923), (40.71931587843679, -73.99564175663636), (40.68669953550235, -73.91347199515499), (40.7528850720279, -73.90024258461926), (40.66475757340388, -73.99386961116073), (40.76552983551358, -73.95032909121888), (40.797363891854275, -73.95681032985573), (40.612401463282396, -74.10536282298523), (40.6253324135951, -73.95586894534257), (40.715086716011896, -73.95106707725805), (40.82249429193428, -73.94236159290531), (40.679844862714006, -73.95231162119887)]
14.009990545344369 [(40.655367572848824, -73.7717261798615), (40.757920191390326, -73.92074080674676), (40.63240597021753, -73.95237385543628), (40.69148742104875, -73.91976088150774), (40.679480141999264, -73.9846987976113), (40.74472399781337, -73.87723997234795), (40.628058417239416, -74.0097624132055), (40.754470068262215, -73.98571032619643), (40.612401463282396, -74.10536282298523), (40.78294696271834, -73.96107941460926), (40.67982395936207, -73.94964492850286), (40.86231939155415, -73.85370232429636), (40.73622317212966, -73.80685103549521), (40.66799711757306, -73.87454885541851), (40.716327459369246, -73.95201620377102), (40.813748074581504, -73.9458357324054), (40.85201026900861, -73.92020002502751), (40.72333347117659, -73.99475558062005)]
14.226377890553323 [(40.68669953550235, -73.91347199515499), (40.79736983903214, -73.95681367265055), (40.685612980793344, -73.76383036079244), (40.85598561156641, -73.91585324808341), (40.59362999760845, -73.7982628345352), (40.86167359166876, -73.85177742229912), (40.66475757340388, -73.99386961116073), (40.7528850720279, -73.90024258461926), (40.765537942666775, -73.95032819299172), (40.679844862714006, -73.95231162119887), (40.731257899961975, -73.82611569778923), (40.612401463282396, -74.10536282298523), (40.71931587843679, -73.99564175663636), (40.74306462567645, -73.98594352315577), (40.6253324135951, -73.95586894534257), (40.715086716011896, -73.95106707725805), (40.82249429193428, -73.94236159290531), (40.76346727892099, -73.98800983777136)]
13.257412350619493 [(40.612401463282396, -74.10536282298523), (40.684827489448466, -73.76330219884825), (40.81175798355639, -73.94760442063912), (40.8508803917541, -73.92111882859717), (40.63417956482017, -73.9514858066777), (40.68232482677017, -73.94596158286791), (40.7801418959212, -73.96150516216707), (40.75799337222243, -73.92091282578386), (40.745513933765274, -73.87875972895495), (40.67969745789741, -73.9833784460658), (40.59362999760845, -73.7982628345352), (40.62818418279441, -74.00950833838854), (40.687575048518354, -73.9105382900589), (40.7232986421399, -73.99474936175665), (40.73052863165821, -73.81881621468845), (40.862456839725056, -73.8540105348849), (40.754325399953395, -73.9859689616086), (40.716288723665116, -73.95168462074254)]
14.009893422216862 [(40.67982395936207, -73.94964492850286), (40.85089522377572, -73.92110240350945), (40.69148742104875, -73.91976088150774), (40.74472399781337, -73.87723997234795), (40.7233022752275, -73.99474900222673), (40.75792332524113, -73.92072396892178), (40.716327459369246, -73.95201620377102), (40.78035063600007, -73.96149899128208), (40.75433354794961, -73.98594727539337), (40.628058417239416, -74.0097624132055), (40.63240597021753, -73.95237385543628), (40.612401463282396, -74.10536282298523), (40.679480141999264, -73.9846987976113), (40.862456839725056, -73.8540105348849), (40.81186856540053, -73.94749019168039), (40.73627811460706, -73.80683074807624), (40.655367572848824, -73.7717261798615), (40.66802093803416, -73.87448598155665)]
15.240149437878696 [(40.7434266271787, -73.87615904124586), (40.68665112609506, -73.91357493361448), (40.664187475792275, -73.99407237932098), (40.85594346265514, -73.91595776521544), (40.82224904512185, -73.94248139685833), (40.612401463282396, -74.10536282298523), (40.62508661666243, -73.95538933884033), (40.796472751552365, -73.95666343563907), (40.86167359166876, -73.85177742229912), (40.7581222290343, -73.91852373455143), (40.76395813252533, -73.95828498640446), (40.763162450698324, -73.988383332917), (40.72996197460287, -73.81013504093659), (40.740950751912074, -73.98720793211926), (40.67980373993722, -73.9525234455714), (40.653090111703705, -73.77396918210015), (40.715000220685646, -73.95111934361572), (40.718099205301876, -73.99616201028994)]
14.473541333850159 [(40.72188084646546, -73.99462674979094), (40.766839710135706, -73.94860897328864), (40.68825853497217, -73.92507311009301), (40.79198870821207, -73.97059340021661), (40.862038372308476, -73.8507808659984), (40.62578875105931, -73.97441658760182), (40.71493816135652, -73.9518607258789), (40.753947098632345, -73.98653811706824), (40.856680116819, -73.91188430179767), (40.73770640574321, -73.82317555817474), (40.75211633233002, -73.89941696233336), (40.80294386206821, -73.94588774050553), (40.6671352398061, -73.88090188658363), (40.59107591209707, -73.79675122960435), (40.612401463282396, -74.10536282298523), (40.685302994977626, -73.76497677669887), (40.675978235529925, -73.96740543627033), (40.82871926988944, -73.94284055729923)]
13.735466585088947 [(40.71551166399933, -73.95145904431128), (40.847618409533425, -73.92434196341158), (40.612401463282396, -74.10536282298523), (40.76382507896888, -73.9846056093556), (40.62626038891194, -73.95397297485805), (40.68758822617242, -73.9180739890966), (40.59107591209707, -73.79675122960435), (40.76826854659716, -73.9471231828829), (40.679823974096664, -73.95413690509316), (40.74158565066242, -73.98779450377648), (40.863115656534646, -73.85571741865795), (40.75210403480272, -73.81168180151961), (40.807515016172424, -73.95103678642042), (40.6971267926024, -73.85079244588717), (40.752189363869626, -73.89898911187586), (40.68574922893188, -73.76359035851763), (40.71822125085595, -73.99578935478014), (40.66313036215086, -73.99471418460452)]
14.710764396302725 [(40.750473357790945, -73.8964962649691), (40.7370658997566, -73.81916584230235), (40.65942933576814, -73.77110032054296), (40.612401463282396, -74.10536282298523), (40.76863805020447, -73.94432262682808), (40.74182828304859, -73.98792762773095), (40.66863693870715, -73.87416084186812), (40.663783157793986, -73.99462730252196), (40.64874070877373, -73.94719118968824), (40.6912726807871, -73.92109189120899), (40.76381757836843, -73.98397809868736), (40.80753386505423, -73.95102471254701), (40.5988288181024, -73.96906817596808), (40.71841918569033, -73.99574540265405), (40.71623373683093, -73.95187470649655), (40.68368609645087, -73.95531369271161), (40.84763351209694, -73.92432995220024), (40.86303337534127, -73.8556352611298)]
14.032762139030096 [(40.862456839725056, -73.8540105348849), (40.65540342754031, -73.7717623683075), (40.683715983168796, -73.95531829702104), (40.722150200663556, -73.99457506925886), (40.74467513798736, -73.87721777189975), (40.7364553637246, -73.80674548942773), (40.612401463282396, -74.10536282298523), (40.648738762694784, -73.94718520693962), (40.75409346613665, -73.98616372746025), (40.71653418026451, -73.95211347981414), (40.779990377458496, -73.96153709509849), (40.66436130823273, -73.99453972925392), (40.75792979977947, -73.92069601704713), (40.668776298561006, -73.87346354362437), (40.69134271083545, -73.92108703352065), (40.8508803917541, -73.92111882859717), (40.811711345412206, -73.9476504531826), (40.5988288181024, -73.96906817596808)]
14.64074490852948 [(40.612401463282396, -74.10536282298523), (40.754188416456266, -73.90528720387054), (40.69146440850785, -73.92104936443965), (40.77856789583307, -73.96030841181086), (40.65139497458866, -73.99542690769674), (40.66036325200756, -73.77131835720213), (40.72632918465227, -73.99276974867239), (40.69431982539924, -73.99734864858944), (40.66914089000637, -73.87401171025427), (40.5976670580987, -73.96733954411818), (40.71729891880518, -73.95193911366975), (40.68328679634141, -73.95489579253882), (40.85047039765183, -73.92138773883553), (40.73794491239226, -73.8228293848093), (40.862456839725056, -73.8540105348849), (40.811256369036734, -73.94816955718872), (40.755032718512375, -73.9858823694561), (40.649180689752136, -73.94597176980403)]
15.003256887655716 [(40.66431343689186, -73.9943146968105), (40.75236560059936, -73.89934772109953), (40.82249429193428, -73.94236159290531), (40.85598561156641, -73.91585324808341), (40.69060031290199, -73.9212591248816), (40.664951132985465, -73.8794424022206), (40.7634218771258, -73.9878239367235), (40.79740933737746, -73.95684579603007), (40.6780005541281, -73.95409897541948), (40.62159431314324, -73.95881985322836), (40.612401463282396, -74.10536282298523), (40.736675904155284, -73.82074747712277), (40.71928646050522, -73.99563608335177), (40.71575072193049, -73.95190695838538), (40.74307226283252, -73.98591705264124), (40.76572908538444, -73.94940891608381), (40.86167359166876, -73.85177742229912), (40.66013434321721, -73.77154255310377)]
