27.065712168009583 [(40.658477816819726, -73.7735875183525), (40.643720688231625, -73.97385216317348), (40.7406843117178, -73.98857046035054), (40.6983075040253, -73.95733670495007), (40.800547632529465, -73.95276647177708), (40.68400520290781, -73.91752790788493), (40.731944614294754, -73.82584141063087), (40.75422424552731, -73.90751095956408), (40.857093570620655, -73.89180975520374), (40.612439140058164, -74.10496927507432)]
28.895519909583882 [(40.75429363666721, -73.90686236788304), (40.72056620969019, -73.9949192070318), (40.85943998169781, -73.8846022020544), (40.731658474084476, -73.82577916742058), (40.75759940543522, -73.97968419451244), (40.65842415900209, -73.77351518251682), (40.80840345849623, -73.94909358300117), (40.68128439962384, -73.9171741461647), (40.69327283387723, -73.9551323775521), (40.630639277997986, -74.00138636028348)]
28.372646750386465 [(40.74058556886223, -73.98948597808523), (40.68476301327859, -73.91856470739751), (40.61242116130835, -74.10516736815492), (40.67706951635654, -73.78439107247192), (40.85646634567286, -73.89393078156984), (40.62656488012014, -73.97341571324688), (40.720453619240004, -73.94836041237248), (40.67813807982345, -73.96710390919715), (40.79749816302659, -73.95100714198055), (40.74955091632451, -73.87805815473214)]
27.08162961392607 [(40.647519522792166, -73.97086620599237), (40.7283861063591, -73.828605155334), (40.85917780719251, -73.88534563402952), (40.61251476802209, -74.10354920261643), (40.75645785349606, -73.98194897671088), (40.68992672410975, -73.93151092864137), (40.80724716220768, -73.94949056119727), (40.65839012633474, -73.77306466830906), (40.75428741401684, -73.90714827167287), (40.715673713327185, -73.98527484172968)]
27.399803530475317 [(40.683787752726616, -73.9145482137492), (40.683199548652816, -73.787325225342), (40.8084004735673, -73.9489162873513), (40.75255303698318, -73.89365825359292), (40.61245997100474, -74.10476841923092), (40.8594084481009, -73.88450209317948), (40.69840481496844, -73.95289371239888), (40.719835414504004, -73.99478887084608), (40.64310943380642, -73.97229995307048), (40.75793011451527, -73.97925656285146)]
27.08162961392607 [(40.715673713327185, -73.98527484172968), (40.647519522792166, -73.97086620599237), (40.80724716220768, -73.94949056119727), (40.75645785349606, -73.98194897671088), (40.7283861063591, -73.828605155334), (40.61251476802209, -74.10354920261643), (40.65839012633474, -73.77306466830906), (40.68992672410975, -73.93151092864137), (40.85917780719251, -73.88534563402952), (40.75428741401684, -73.90714827167287)]
28.895519909583882 [(40.630639277997986, -74.00138636028348), (40.69327283387723, -73.9551323775521), (40.65842415900209, -73.77351518251682), (40.75429363666721, -73.90686236788304), (40.75759940543522, -73.97968419451244), (40.85943998169781, -73.8846022020544), (40.80840345849623, -73.94909358300117), (40.68128439962384, -73.9171741461647), (40.731658474084476, -73.82577916742058), (40.72056620969019, -73.9949192070318)]
28.895507895004837 [(40.63066583626711, -74.00136189820027), (40.65842415900209, -73.77351518251682), (40.75429363666721, -73.90686236788304), (40.85943998169781, -73.8846022020544), (40.80834437076155, -73.9491033991997), (40.75754983551231, -73.97975091209717), (40.69328939630763, -73.9550894287261), (40.72046914440941, -73.99490700012768), (40.681275927645544, -73.91714832911451), (40.731710218167876, -73.82576085701761)]
28.372610355357036 [(40.797523710846576, -73.95103373821016), (40.720332973645526, -73.94839390628572), (40.684743011839984, -73.91858830998198), (40.61242116130835, -74.10516736815492), (40.74058556886223, -73.98948597808523), (40.62656488012014, -73.97341571324688), (40.74962016814105, -73.87827943728766), (40.67810661234832, -73.96717230108494), (40.67709770641278, -73.78446580047131), (40.85646634567286, -73.89393078156984)]
28.410192230351484 [(40.85955033649954, -73.8839887513507), (40.808908517630016, -73.94873868782398), (40.67385076724538, -73.9715727024992), (40.69312701934762, -73.92771772087681), (40.626446750456076, -73.94753195486585), (40.75237217632469, -73.89400361914166), (40.72251909993363, -73.98655242458443), (40.61663153074992, -74.0791132180696), (40.75895210870512, -73.97921718052554), (40.68481304556151, -73.7886542907553)]
27.08162961392607 [(40.75428741401684, -73.90714827167287), (40.7283861063591, -73.828605155334), (40.80724716220768, -73.94949056119727), (40.65839012633474, -73.77306466830906), (40.68992672410975, -73.93151092864137), (40.715673713327185, -73.98527484172968), (40.75645785349606, -73.98194897671088), (40.647519522792166, -73.97086620599237), (40.85917780719251, -73.88534563402952), (40.61251476802209, -74.10354920261643)]
27.399804587746633 [(40.8594084481009, -73.88450209317948), (40.8084004735673, -73.9489162873513), (40.75255303698318, -73.89365825359292), (40.719835414504004, -73.99478887084608), (40.64310943380642, -73.97229995307048), (40.6837805561039, -73.91456606148317), (40.75793381866355, -73.9792598099712), (40.69842126555321, -73.952899894377), (40.61245997100474, -74.10476841923092), (40.683199548652816, -73.787325225342)]
28.895511704283106 [(40.85943998169781, -73.8846022020544), (40.75429363666721, -73.90686236788304), (40.731658474084476, -73.82577916742058), (40.72046914440941, -73.99490700012768), (40.80834437076155, -73.9491033991997), (40.75754983551231, -73.97975091209717), (40.69328986382444, -73.95509488886015), (40.68128349050229, -73.91717004657373), (40.63066583626711, -74.00136189820027), (40.65842415900209, -73.77351518251682)]
28.372610177266264 [(40.72032327767273, -73.94838341709213), (40.61242116130835, -74.10516736815492), (40.797523710846576, -73.95103373821016), (40.67709770641278, -73.78446580047131), (40.62656488012014, -73.97341571324688), (40.85646634567286, -73.89393078156984), (40.67809976839102, -73.96718062529813), (40.74962933989542, -73.8782517396557), (40.74058556886223, -73.98948597808523), (40.68474718648347, -73.91858204704)]
27.399804587746633 [(40.8084004735673, -73.9489162873513), (40.8594084481009, -73.88450209317948), (40.75255303698318, -73.89365825359292), (40.69842126555321, -73.952899894377), (40.75793381866355, -73.9792598099712), (40.6837805561039, -73.91456606148317), (40.61245997100474, -74.10476841923092), (40.719835414504004, -73.99478887084608), (40.64310943380642, -73.97229995307048), (40.683199548652816, -73.787325225342)]
28.37260845157812 [(40.67709770641278, -73.78446580047131), (40.62656488012014, -73.97341571324688), (40.79753074086785, -73.95103128206092), (40.74962016814105, -73.87827943728766), (40.67809976839102, -73.96718062529813), (40.68474007964222, -73.9185847496674), (40.85647674640585, -73.89390378910763), (40.720314331693814, -73.94839030749407), (40.74058556886223, -73.98948597808523), (40.61242116130835, -74.10516736815492)]
27.399783768980363 [(40.85955033649954, -73.8839887513507), (40.69841637755205, -73.95294379355292), (40.683199548652816, -73.787325225342), (40.683789308011335, -73.9145778064043), (40.61245997100474, -74.10476841923092), (40.80877279229604, -73.94876996411703), (40.758115188124265, -73.97908677647985), (40.64310943380642, -73.97229995307048), (40.752572516118185, -73.89366554291047), (40.71997435396678, -73.99480657243183)]
