36.17499519188453 [(40.75582015496706, -73.98183420034691), (40.63240443485242, -74.00243871808176), (40.68317853798891, -73.78949824909846), (40.68364395615545, -73.9336979072348), (40.751290489688444, -73.89348113132141), (40.713506492487106, -73.98266308030773), (40.85907583576194, -73.88572347559777), (40.80662587507656, -73.94942441332925)]
36.1756429398534 [(40.75127404208593, -73.89348484894228), (40.631225463405094, -74.00362814936977), (40.755391778163386, -73.9822286713939), (40.858932195621, -73.88613783140356), (40.7127715104252, -73.98196446310129), (40.68317734580954, -73.93353625591857), (40.806287828315924, -73.94955376114461), (40.68317853798891, -73.78949824909846)]
34.719008937640005 [(40.73832754060381, -73.98623700680531), (40.85674633481156, -73.89234467144684), (40.65737154461429, -73.97249665768334), (40.68333037672147, -73.78967691967198), (40.69193931395793, -73.93212793754677), (40.75138855879449, -73.89377469458474), (40.61298822458907, -74.09926911393458), (40.79950668305249, -73.95275217223025)]
36.1756429398534 [(40.7127715104252, -73.98196446310129), (40.68317734580954, -73.93353625591857), (40.631225463405094, -74.00362814936977), (40.858932195621, -73.88613783140356), (40.806287828315924, -73.94955376114461), (40.75127404208593, -73.89348484894228), (40.755391778163386, -73.9822286713939), (40.68317853798891, -73.78949824909846)]
34.71904330011777 [(40.61298822458907, -74.09926911393458), (40.69193931395793, -73.93212793754677), (40.68333037672147, -73.78967691967198), (40.65737154461429, -73.97249665768334), (40.75138855879449, -73.89377469458474), (40.85682650071394, -73.8921179324472), (40.7383301155387, -73.98623532106281), (40.79957013799545, -73.9527255000778)]
34.71923552896478 [(40.85665331316639, -73.89248229241163), (40.79947190991093, -73.95277849153909), (40.73838713728563, -73.98631460361516), (40.68319833590857, -73.78955329352505), (40.657129959855794, -73.97273060075604), (40.691990135128954, -73.93230925865629), (40.6127344355921, -74.10156510084762), (40.75135512917137, -73.89368030662445)]
37.25380535545303 [(40.64768222020626, -73.86978567191612), (40.73947126060693, -73.98777316974584), (40.69227701178062, -73.94115235352471), (40.800189036838, -73.95292028772575), (40.64478176570474, -73.99257605882198), (40.751750762243034, -73.90130447899456), (40.85688295187956, -73.89194383782572), (40.70659103517027, -73.78805993140654)]
34.71910320896258 [(40.6833008713685, -73.78984010228534), (40.69207687584882, -73.93238174180998), (40.657234762498035, -73.97252418222709), (40.75138855879449, -73.89377469458474), (40.61298822458907, -74.09926911393458), (40.799597340984086, -73.95269854382572), (40.73844043283933, -73.98634858672993), (40.856845908992554, -73.89209830193889)]
36.47634550854246 [(40.73857168739751, -73.98697470554434), (40.68917935958691, -73.93752999289597), (40.64518954711748, -73.99260986374566), (40.65827106846996, -73.77337050829969), (40.75409262335922, -73.90753345786864), (40.72659978315734, -73.83063387930255), (40.85700340207998, -73.8917828231529), (40.80031946213908, -73.95300883191332)]
34.718998659099455 [(40.73832754060381, -73.98623700680531), (40.65737154461429, -73.97249665768334), (40.79947190991093, -73.95277849153909), (40.85665331316639, -73.89248229241163), (40.68333037672147, -73.78967691967198), (40.75138855879449, -73.89377469458474), (40.69193931395793, -73.93212793754677), (40.61298822458907, -74.09926911393458)]
