16.641372736021427 [(40.75523561786339, -73.98608745448111), (40.665321516646046, -73.9937215865462), (40.82172162120174, -73.94251458199834), (40.722463028435676, -73.99455616815366), (40.71509889542254, -73.95107027657993), (40.68674660213109, -73.91336110795032), (40.75222145933368, -73.89890058967299), (40.62502961013707, -73.9556402607554), (40.86167359166876, -73.85177742229912), (40.855836666613015, -73.9161389505981), (40.67982328256485, -73.95224370289941), (40.79645590321025, -73.95829738820599), (40.612401463282396, -74.10536282298523), (40.76633733886743, -73.94801107048634), (40.73127912445037, -73.82253951755055), (40.657818015326406, -73.77346328227064)]
16.62774532601117 [(40.722220605573774, -73.99453327336208), (40.612401463282396, -74.10536282298523), (40.81590427520989, -73.94394591974363), (40.793905376475145, -73.96367842050236), (40.8526544388481, -73.9199225095417), (40.625069077865426, -73.95552162686667), (40.766947263601644, -73.94781014860749), (40.68674806843539, -73.9133765728754), (40.73127912445037, -73.82253951755055), (40.7521391567719, -73.89883259433878), (40.71512575162922, -73.95106454081878), (40.75448224951375, -73.98632211170622), (40.679832856305815, -73.9522584571353), (40.657818015326406, -73.77346328227064), (40.86214885169383, -73.85356317244526), (40.66518865964655, -73.9937680188629)]
15.25174884068992 [(40.86329581298245, -73.86498646491735), (40.62318191222004, -73.9762981419246), (40.694279783208884, -73.77070320785322), (40.716287900188924, -73.95206578638282), (40.69231343272934, -73.92068139288378), (40.6742285141459, -73.94929935204395), (40.83085566269765, -73.93703745408361), (40.723770683492646, -73.99475637944904), (40.612401463282396, -74.10536282298523), (40.59107591209707, -73.79675122960435), (40.66592630343849, -73.88201299988475), (40.790950753549396, -73.95607996509015), (40.742960026142555, -73.84690314503032), (40.75594503912707, -73.9844030775015), (40.679062467802204, -73.98479832658766), (40.75545773289415, -73.91325173996925)]
15.287182374130495 [(40.67990074799157, -73.95225021323601), (40.81106169400361, -73.94826819134352), (40.75408473311507, -73.9863212215343), (40.665287917198796, -73.9937679928028), (40.62533270058122, -73.95598302005126), (40.68575728484521, -73.76420928621418), (40.612401463282396, -74.10536282298523), (40.722134328756624, -73.99454917367004), (40.73197478474163, -73.82788913979708), (40.686817456843364, -73.91346825941697), (40.778222994085375, -73.96073686491181), (40.75439893741692, -73.90575247925757), (40.716327306948735, -73.95113343077816), (40.59362999760845, -73.7982628345352), (40.850279013784764, -73.92157786599849), (40.862576038931266, -73.85414786755085)]
16.117979971965713 [(40.7681587346114, -73.94806013907558), (40.612401463282396, -74.10536282298523), (40.62157312627456, -73.95894311080411), (40.690682753986174, -73.92124454612734), (40.80650726753336, -73.95198571755982), (40.67796168736142, -73.95392285791422), (40.8632088662366, -73.85675919537567), (40.715851344651334, -73.95196268922977), (40.73667625790838, -73.82067105198628), (40.72264763539375, -73.99453267012458), (40.846587981537255, -73.92526548101425), (40.66491549613536, -73.87948484538342), (40.66504120790364, -73.9940742397624), (40.756241586792754, -73.98566606161987), (40.66013434321721, -73.77154255310377), (40.75200027895094, -73.89888931930315)]
15.196256373885566 [(40.68625498359808, -73.94250223156885), (40.75594627651807, -73.98444564661548), (40.75462142422748, -73.90646815030638), (40.61739408112262, -73.99255528898607), (40.59362999760845, -73.7982628345352), (40.612401463282396, -74.10536282298523), (40.64622199023446, -73.9477858346825), (40.71781643268473, -73.95215205353117), (40.723774993320625, -73.99475934569179), (40.73300731500312, -73.82771811846987), (40.83082616222927, -73.93705937927028), (40.790760142007656, -73.95598720362675), (40.68574183134988, -73.76452404310643), (40.68754610097791, -73.90751469287615), (40.679667288551656, -73.98196850235243), (40.86329581298245, -73.86498646491735)]
16.776781877034903 [(40.71559009777889, -73.95199195472232), (40.74765956917869, -73.88718290620338), (40.75788954724723, -73.9839259597066), (40.86060843636737, -73.88313249214855), (40.69811123572596, -73.8421571002777), (40.67544332870053, -73.95048419596752), (40.623522078307495, -73.97892919010627), (40.612401463282396, -74.10536282298523), (40.812903072480694, -73.94846371346327), (40.67932873821124, -73.98499746743454), (40.650222862815895, -73.90145982714802), (40.655891850674884, -73.77039258129822), (40.75094947204223, -73.80405607205334), (40.692213638583034, -73.92050627767622), (40.72428365186555, -73.9946755321035), (40.76660881273799, -73.93746137115333)]
15.264859620613711 [(40.86329581298245, -73.86498646491735), (40.790575590035125, -73.9561983205598), (40.72267513097081, -73.99460173469292), (40.598994825193785, -73.96942114691228), (40.59362999760845, -73.7982628345352), (40.71724849075375, -73.95164185491653), (40.75562567011729, -73.98464966855634), (40.684547353262246, -73.9515931242528), (40.612401463282396, -74.10536282298523), (40.64826066944589, -73.94537747740054), (40.73225539243991, -73.82825602861583), (40.754610096993986, -73.90653777014957), (40.66553855899387, -73.99342076277652), (40.688790312096046, -73.9128363580758), (40.68588888580533, -73.76441573865101), (40.83071212020486, -73.93709216261144)]
15.129940090446665 [(40.59107591209707, -73.79675122960435), (40.7907529120442, -73.95627513849247), (40.612401463282396, -74.10536282298523), (40.66822867911858, -73.87860171187938), (40.678284437020544, -73.95410745329819), (40.62235508374189, -73.95809630084312), (40.75538464675174, -73.91316230695072), (40.86329581298245, -73.86498646491735), (40.66490656553263, -73.99416878672548), (40.72263011103083, -73.99459755300312), (40.74319563270941, -73.84684516269641), (40.69057025594191, -73.92124353401388), (40.71689472283171, -73.95197681419383), (40.6943456285987, -73.77043526104146), (40.75562058041457, -73.98463148874643), (40.83074406755772, -73.93707548859166)]
16.803641786088036 [(40.679828534273504, -73.95234828761234), (40.6577669390275, -73.77338624513493), (40.76382076990767, -73.98399737343956), (40.68671428090124, -73.91347667346184), (40.84763351209694, -73.92432995220024), (40.71535350285225, -73.95099258618981), (40.6251051133363, -73.95536878456164), (40.66436962106595, -73.99394816971717), (40.7418007108402, -73.98797387115091), (40.612401463282396, -74.10536282298523), (40.73109027509802, -73.82218096301561), (40.86303337534127, -73.8556352611298), (40.718327098199254, -73.99566291133742), (40.76864510951978, -73.94454873249711), (40.80753933662023, -73.95102525951599), (40.7507797311198, -73.89681018141061)]
