14.942330675725925 [(40.69184224323593, -73.91952800162841), (40.79155711859391, -73.95596944379248), (40.66874331679017, -73.8734766425827), (40.73653886896221, -73.80674256849407), (40.75600582657216, -73.98438346238895), (40.74473292510544, -73.87724386451602), (40.61627168542538, -73.9923000707211), (40.75802510291691, -73.92130390569723), (40.67865948649368, -73.9855533322478), (40.72377877620163, -73.99474737082816), (40.612401463282396, -74.10536282298523), (40.68324064991847, -73.94979187044711), (40.86336103656219, -73.86506302337513), (40.71657399100805, -73.95214141350384), (40.64597668563489, -73.94830968205049), (40.831287796629404, -73.93686538863592), (40.65540342754031, -73.7717623683075)]
14.086849815244824 [(40.69190106337311, -73.92072725733816), (40.67480366745395, -73.94979074466347), (40.83147888224341, -73.93675629030373), (40.71563685294143, -73.95217284301208), (40.677559435757175, -73.9862532572012), (40.6847433373518, -73.76493172287402), (40.73909411599074, -73.81395146104968), (40.75612452923237, -73.9843177510181), (40.72375394018737, -73.99472002582606), (40.7918602018807, -73.95577949545127), (40.75808994629647, -73.92168210569096), (40.59107591209707, -73.79675122960435), (40.66643797621787, -73.88077889261172), (40.744636539174344, -73.87800757061761), (40.62255279027636, -73.97350188083034), (40.86343552845767, -73.86498786076069), (40.61242116130835, -74.10516736815492)]
15.053782553399724 [(40.612401463282396, -74.10536282298523), (40.78296549823899, -73.96107413821966), (40.66270974007613, -73.88240750387826), (40.754466568398655, -73.98568963319626), (40.65556626768875, -73.77222912819438), (40.81375863392049, -73.94582941864283), (40.744326626135184, -73.87714641890821), (40.86231939155415, -73.85370232429636), (40.72330143284255, -73.99473996873392), (40.757907019657125, -73.92073136374275), (40.62297027835342, -73.97574262001861), (40.73503488809167, -73.80755200001802), (40.67860796953139, -73.98532157653693), (40.85201026900861, -73.92020002502751), (40.674468763997076, -73.94967786757), (40.71571857156763, -73.95216012394984), (40.69217244335762, -73.92077545765406)]
14.83953682023085 [(40.743753261756716, -73.98612007647921), (40.685612980793344, -73.76383036079244), (40.612401463282396, -74.10536282298523), (40.664671679819826, -73.99391913437304), (40.75262022974414, -73.89985425864425), (40.86303337534127, -73.8556352611298), (40.847604925953256, -73.92435639565767), (40.71514194761025, -73.9510761346165), (40.686698841293776, -73.9135318056715), (40.7195268955626, -73.99540542487979), (40.6798564660198, -73.95236935437478), (40.59362999760845, -73.7982628345352), (40.76516910238534, -73.98643998366882), (40.76749363478295, -73.94909284004738), (40.80744282306239, -73.95098265802537), (40.73121762877553, -73.8261129266028), (40.625348675277344, -73.95580054850578)]
15.165272880885189 [(40.68237135912013, -73.94584503522735), (40.67970367140398, -73.98332634440312), (40.68752116245531, -73.91023022252485), (40.754325399953395, -73.9859689616086), (40.7232986421399, -73.99474936175665), (40.73029190830024, -73.81000465998522), (40.65308889746051, -73.77389270816361), (40.628287751092465, -74.00930596342734), (40.81175798355639, -73.94760442063912), (40.757917021914984, -73.9206992970728), (40.633972919334745, -73.95120324550216), (40.7801418959212, -73.96150516216707), (40.8508803917541, -73.92111882859717), (40.612401463282396, -74.10536282298523), (40.71629470034357, -73.95168528421192), (40.862456839725056, -73.8540105348849), (40.74402632651926, -73.87714234474106)]
15.149991210534797 [(40.850279013784764, -73.92157786599849), (40.69153867944955, -73.91978957989247), (40.679480141999264, -73.9846987976113), (40.7171420428626, -73.95190048249094), (40.862576038931266, -73.85414786755085), (40.754205967372144, -73.90526102134525), (40.66044814388312, -73.77156529424198), (40.72327031460727, -73.99473932827954), (40.66769043354095, -73.87594236697112), (40.612401463282396, -74.10536282298523), (40.75431690152977, -73.98617342934482), (40.679864186135596, -73.94962522611874), (40.63238975913719, -73.95248737350859), (40.628058417239416, -74.0097624132055), (40.737637772486416, -73.82284135421136), (40.77820844786584, -73.96061803939357), (40.811067856815015, -73.94826893012527)]
16.71028197170324 [(40.81618444728682, -73.94451146404323), (40.73934231870724, -73.9891849321589), (40.753970358078284, -73.90351560219925), (40.65786555572139, -73.86674964157574), (40.668056060007835, -73.76662099426822), (40.787988737357594, -73.95819537719436), (40.852559406375825, -73.919895650352), (40.73784291825037, -73.82264447761101), (40.71712459103948, -73.99610749298323), (40.69809779199144, -73.95373686568414), (40.612401463282396, -74.10536282298523), (40.636326951464916, -73.95419952786123), (40.74844019801568, -73.9591936594753), (40.66467364963825, -73.99345996000228), (40.688762320655734, -73.92188088418726), (40.86214885169383, -73.85356317244526), (40.76242303081524, -73.98862944340713)]
16.27453544021026 [(40.612401463282396, -74.10536282298523), (40.75367068472856, -73.98650430717802), (40.82520962354991, -73.94177435632805), (40.731267174825696, -73.82268990135915), (40.657973177953295, -73.77338464265127), (40.861768672567834, -73.8513869419337), (40.715117484720004, -73.95105718572749), (40.67982909945725, -73.95230038733287), (40.76660325939636, -73.94791460848812), (40.625069077865426, -73.95552162686667), (40.68675583177324, -73.9133863036595), (40.66512470915907, -73.9938007430969), (40.722037517732645, -73.99454832418722), (40.75220870217868, -73.89889204482478), (40.78565909373645, -73.9753940970148), (40.85666576808016, -73.91421678978404), (40.800901257217944, -73.95167180111204)]
15.82351691949562 [(40.743854266961904, -73.87694820746471), (40.653002008319405, -73.77405921457424), (40.687541450466824, -73.91152804851721), (40.73000791692836, -73.81022872224283), (40.81555591549105, -73.9447081906062), (40.758192230672904, -73.91978692687196), (40.612401463282396, -74.10536282298523), (40.6602022187751, -73.94527102709434), (40.75714391692921, -73.99050010468494), (40.61921988497185, -73.98565154733886), (40.67927321620484, -73.98155443540284), (40.85238427203504, -73.92001323560686), (40.786699023108554, -73.95983097638467), (40.86231939155415, -73.85370232429636), (40.70451543008637, -73.94866625857067), (40.74822981061349, -73.9696731135882), (40.723040333045105, -73.99477444971545)]
15.16322906556347 [(40.731468395810104, -73.8093302402201), (40.8508803917541, -73.92111882859717), (40.723237596956594, -73.99473960449352), (40.862456839725056, -73.8540105348849), (40.653382192358904, -73.77422212827504), (40.7442845067781, -73.87711622156884), (40.811725035655215, -73.94764013228271), (40.679542050830925, -73.98186336691155), (40.683599537221866, -73.94371676444833), (40.612401463282396, -74.10536282298523), (40.62820211679516, -74.00943221011855), (40.75792402807936, -73.92068447005774), (40.68702107230523, -73.90813011575698), (40.754306003793666, -73.98600401234717), (40.71641027303897, -73.9517417454312), (40.78003643112509, -73.96152214112001), (40.63477704068611, -73.95150791185475)]
15.678601348335393 [(40.721961958133456, -73.99449258061102), (40.75802814159357, -73.92019446730649), (40.715250968200024, -73.95117655230123), (40.625069077865426, -73.95552162686667), (40.74393167926174, -73.87707362448793), (40.72978579491729, -73.81047171522515), (40.856047212555836, -73.91573361283591), (40.77089009321894, -73.96242853037442), (40.86167359166876, -73.85177742229912), (40.686725528954355, -73.91343765936888), (40.66512470915907, -73.9938007430969), (40.67982586242793, -73.95228934458034), (40.653090111703705, -73.77396918210015), (40.75372688900506, -73.98734801657886), (40.612401463282396, -74.10536282298523), (40.82299653697543, -73.9422282234846), (40.79854855216367, -73.95528155349449)]
17.49675485708892 [(40.68386621773231, -73.91524416590833), (40.86392921191486, -73.84916943641959), (40.753416612822576, -73.9015681296141), (40.797234355829204, -73.95224434680098), (40.64235992418639, -73.9721567127656), (40.82087295207593, -73.94341400730275), (40.78546846734752, -73.97577398711823), (40.75245633483431, -73.9877336439521), (40.73115142664054, -73.82693421159179), (40.759732194600694, -73.95242401930643), (40.61245997100474, -74.10476841923092), (40.85129880070444, -73.89616702921545), (40.71684362831346, -73.99455299913993), (40.59362999760845, -73.7982628345352), (40.853778056653574, -73.93070155875965), (40.685612980793344, -73.76383036079244), (40.69768737572495, -73.9528403481424)]
17.37750073182954 [(40.85956601823422, -73.91611131722252), (40.766742732378134, -73.9484423841297), (40.67582654987026, -73.96574782421362), (40.79194168256605, -73.97065862380441), (40.612401463282396, -74.10536282298523), (40.712484728092306, -73.9504194340311), (40.82476235644171, -73.85876410214931), (40.72144102744731, -73.99468557149386), (40.68442742846989, -73.917452266998), (40.80265550751711, -73.94603199242286), (40.7292229988708, -73.82266166202966), (40.82789940356291, -73.94260994960523), (40.87896550318455, -73.853440388576), (40.657472932710306, -73.77309448268223), (40.625343695196314, -73.97457708672502), (40.751946766817916, -73.89918786603046), (40.75385139316435, -73.98657875761967)]
