18.182462450407797 [(40.75443006901896, -73.90618698941626), (40.73216952431506, -73.82525995817524), (40.6251276236089, -73.95551215421202), (40.658527298868876, -73.77348134807343), (40.665256785567415, -73.99374636837895), (40.6868729585471, -73.91338642760819), (40.83069541136973, -73.9370989124799), (40.755611076718694, -73.98462979040077), (40.86329581298245, -73.86498646491735), (40.71648542766516, -73.95112363434335), (40.790545521122596, -73.95617793006764), (40.612401463282396, -74.10536282298523), (40.722648134526565, -73.9945997079203), (40.67989932754574, -73.95221754888425)]
18.691567061579548 [(40.70982633580473, -73.79261866086509), (40.75261058279138, -73.90009161382558), (40.686950823025676, -73.91242220194141), (40.790022181592185, -73.95580714727171), (40.755645460587985, -73.98467611652693), (40.83059458260306, -73.93722051128218), (40.863012141417535, -73.86492967009276), (40.71712715128872, -73.95092958682083), (40.626070367463974, -73.9559354167049), (40.612401463282396, -74.10536282298523), (40.66543805390735, -73.9936809614942), (40.68028611967585, -73.95167814205993), (40.59190074140098, -73.79695703690814), (40.72266109324378, -73.99459280325328)]
20.856094424310722 [(40.67624274538706, -73.96728444569271), (40.74900077963446, -73.97699558001528), (40.65484157515949, -73.87098291814597), (40.76240844039942, -73.9896323540195), (40.72247304364822, -73.99501041497594), (40.6883313419013, -73.92504460481531), (40.78365809688619, -73.94654688173566), (40.829229708691365, -73.93830548780953), (40.62587273101383, -73.974423318638), (40.71891587972265, -73.94921644225184), (40.683168055177305, -73.77392602861987), (40.612401463282396, -74.10536282298523), (40.86311565228682, -73.86523344897034), (40.7454177584705, -73.86708401664099)]
18.182462293869445 [(40.67990077954971, -73.95220840603768), (40.686870558060896, -73.91337237487521), (40.755611076718694, -73.98462979040077), (40.6251276236089, -73.95551215421202), (40.73216952431506, -73.82525995817524), (40.665256785567415, -73.99374636837895), (40.658527298868876, -73.77348134807343), (40.722648134526565, -73.9945997079203), (40.790545521122596, -73.95617793006764), (40.71648171509674, -73.95111738625612), (40.75443006901896, -73.90618698941626), (40.86329581298245, -73.86498646491735), (40.612401463282396, -74.10536282298523), (40.83069541136973, -73.9370989124799)]
18.312181313630724 [(40.79050126824491, -73.95616568259875), (40.6635174761895, -73.88159740500726), (40.67600646838311, -73.96742277612422), (40.66051919734596, -73.77182745432785), (40.625697109560534, -73.97482234571606), (40.68846826655216, -73.9252580717691), (40.72245836713789, -73.99468075829881), (40.830679158005644, -73.93710660131377), (40.86336103656219, -73.86506302337513), (40.73696619849701, -73.82335444856993), (40.755573659798905, -73.98465644703167), (40.75415377857267, -73.9060005452327), (40.71665288838947, -73.95192253999384), (40.612401463282396, -74.10536282298523)]
18.182462313392186 [(40.755620165155065, -73.98462842913493), (40.686870558060896, -73.91337237487521), (40.67990077954971, -73.95220840603768), (40.86329581298245, -73.86498646491735), (40.658527298868876, -73.77348134807343), (40.612401463282396, -74.10536282298523), (40.665256785567415, -73.99374636837895), (40.790545521122596, -73.95617793006764), (40.6251276236089, -73.95551215421202), (40.75443006901896, -73.90618698941626), (40.722658016549225, -73.99459507181584), (40.71648171509674, -73.95111738625612), (40.83069541136973, -73.9370989124799), (40.73216952431506, -73.82525995817524)]
18.182463424817612 [(40.665256785567415, -73.99374636837895), (40.612401463282396, -74.10536282298523), (40.686870558060896, -73.91337237487521), (40.6251276236089, -73.95551215421202), (40.755620165155065, -73.98462842913493), (40.722658016549225, -73.99459507181584), (40.83071212020486, -73.93709216261144), (40.79056002789529, -73.9561793421011), (40.67990077954971, -73.95220840603768), (40.754437828329024, -73.90619573819428), (40.73216952431506, -73.82525995817524), (40.658527298868876, -73.77348134807343), (40.71648171509674, -73.95111738625612), (40.86329581298245, -73.86498646491735)]
18.96900155544484 [(40.863100635809275, -73.85718309833294), (40.73122008257628, -73.82282251502129), (40.8455937169096, -73.92641781346491), (40.75616916121764, -73.98597429699588), (40.80556842701671, -73.95225733563362), (40.66748462939158, -73.99153983394324), (40.657973177953295, -73.77338464265127), (40.72278106733153, -73.99453969236203), (40.68585538800527, -73.91431094906814), (40.69931230140095, -73.95125556164044), (40.7525200161495, -73.89956375538365), (40.6363275853846, -73.95397235152109), (40.612439140058164, -74.10496927507432), (40.76467830841211, -73.94967032254227)]
18.89556307931939 [(40.75442383240366, -73.90644581548814), (40.737878654623096, -73.82332044699392), (40.621639298669606, -73.9590034443249), (40.6907682628121, -73.9212081994094), (40.72408694091637, -73.99452301359399), (40.612401463282396, -74.10536282298523), (40.80868253197601, -73.94891418993367), (40.66054825126157, -73.77186486741546), (40.759469220815475, -73.9805066792239), (40.67802547778677, -73.95382268045009), (40.71705051792228, -73.95188173239703), (40.66497204997234, -73.87961211848058), (40.85961951564684, -73.88482910323528), (40.665460967361334, -73.99398359222582)]
18.182463399562504 [(40.665256785567415, -73.99374636837895), (40.86329581298245, -73.86498646491735), (40.755620165155065, -73.98462842913493), (40.658527298868876, -73.77348134807343), (40.6251276236089, -73.95551215421202), (40.71648171509674, -73.95111738625612), (40.722658016549225, -73.99459507181584), (40.612401463282396, -74.10536282298523), (40.73216952431506, -73.82525995817524), (40.83071212020486, -73.93709216261144), (40.686868600708344, -73.91338214892829), (40.67989932754574, -73.95221754888425), (40.79056002789529, -73.9561793421011), (40.754437828329024, -73.90619573819428)]
