14.201755932339967 [(40.69209413836757, -73.92065395925223), (40.75682989795434, -73.99143550802022), (40.67836782440554, -73.9854261577257), (40.86214885169383, -73.85356317244526), (40.71463270352826, -73.95203340818965), (40.75793535232019, -73.9199544898892), (40.72282285401403, -73.99477525738679), (40.8157934463583, -73.94460430063755), (40.674228387681595, -73.9496420018863), (40.8525258770934, -73.919922632494), (40.744300713555084, -73.87698799116365), (40.77828260384143, -73.95115629213073), (40.612401463282396, -74.10536282298523), (40.66274971597567, -73.88216682806555), (40.74985949623096, -73.97360400189132), (40.65556626768875, -73.77222912819438), (40.62285871748119, -73.97561231644778), (40.79363407839539, -73.96895683642339), (40.73508954779803, -73.80752685098994)]
13.635616306902774 [(40.66799711757306, -73.87454885541851), (40.862456839725056, -73.8540105348849), (40.757922786468626, -73.92071084589665), (40.811948524343514, -73.94747730284776), (40.67810516377397, -73.98398461601684), (40.69148001725952, -73.91973236460483), (40.75535711363695, -73.98562448867163), (40.780551253160915, -73.96119064016617), (40.709107063813576, -74.00424106998014), (40.67982747720915, -73.94957555330767), (40.655367572848824, -73.7717261798615), (40.62800467820672, -74.00977184552055), (40.63224090355922, -73.9522242786919), (40.612401463282396, -74.10536282298523), (40.73624227664923, -73.80680912765447), (40.71630525385637, -73.9519913486326), (40.74469425643406, -73.87719871059247), (40.72778566218489, -73.99170490913859), (40.85089522377572, -73.92110240350945)]
13.40611677543671 [(40.684827489448466, -73.76330219884825), (40.62533270058122, -73.95598302005126), (40.74817009785656, -73.97508464716253), (40.612401463282396, -74.10536282298523), (40.824561835088076, -73.9418420973683), (40.71490768569177, -73.95111430634576), (40.85654576858756, -73.91400185983257), (40.75686102366518, -73.99152352526313), (40.679856049561096, -73.952340632721), (40.745347887503215, -73.87877322341343), (40.59362999760845, -73.7982628345352), (40.7581039447207, -73.920541550236), (40.66521810443775, -73.9938114325216), (40.72176746747874, -73.99469726438006), (40.80037562116114, -73.95397342047582), (40.68663877183632, -73.9135199612665), (40.77590762722063, -73.96159047950258), (40.8619492902777, -73.85094469763841), (40.73031397590968, -73.81900181280182)]
13.5650973417603 [(40.75810959954755, -73.92017748858304), (40.73612306555416, -73.80690144249634), (40.628058417239416, -74.0097624132055), (40.67946912605431, -73.98469671492742), (40.72305320697318, -73.99474056257918), (40.75073196813219, -73.97253952981778), (40.655367572848824, -73.7717261798615), (40.66793842566392, -73.87466357790998), (40.86231939155415, -73.85370232429636), (40.67980131058343, -73.94964828055518), (40.71554716293539, -73.95188755248356), (40.81555591549105, -73.9447081906062), (40.786679130390695, -73.95982800170745), (40.69144606941314, -73.91967660555704), (40.63239063815695, -73.95237428428345), (40.612401463282396, -74.10536282298523), (40.85238427203504, -73.92001323560686), (40.744712128108205, -73.87720635378021), (40.757165529335765, -73.99115029635416)]
14.53274116849418 [(40.691406722854616, -73.91861274203477), (40.80686101933445, -73.95167356231616), (40.768549428326615, -73.9447553464153), (40.676913956260556, -73.98506894261239), (40.84719511604524, -73.92474903797691), (40.73051801591012, -73.99108888930024), (40.75844506017607, -73.98459591042601), (40.6679759445738, -73.76651628148294), (40.65747008420376, -73.86421026301487), (40.75060513076425, -73.89707745170789), (40.58033854166667, -74.14415062500001), (40.86298675545561, -73.85602625825122), (40.712016423576536, -74.00078632096982), (40.62528029372216, -74.08978278535596), (40.71621223358244, -73.95190817391989), (40.683332205729464, -73.94958984661234), (40.615941602627316, -73.99245049589578), (40.737981562744736, -73.82098205989446), (40.645839295586015, -73.94821598455852)]
13.309694759549243 [(40.80092963644756, -73.9516329945931), (40.71571622462363, -73.95152643122846), (40.59362999760845, -73.7982628345352), (40.75386129260047, -73.98637142932486), (40.68764454678317, -73.91036194372303), (40.62818418279441, -74.00950833838854), (40.73156383588526, -73.82543298306673), (40.6822585471296, -73.94589442622862), (40.67967620092728, -73.98334951389148), (40.723136457429106, -73.99473144786599), (40.76663971002365, -73.9480261008836), (40.612401463282396, -74.10536282298523), (40.63417956482017, -73.9514858066777), (40.825270280148, -73.94176496324754), (40.86177881381122, -73.85133099389408), (40.856676554642995, -73.91411410621497), (40.78572655554898, -73.97535644882076), (40.75240537575422, -73.89927560783703), (40.685612980793344, -73.76383036079244)]
13.534965955619949 [(40.75456408054194, -73.9869061550816), (40.74461441078201, -73.87668612026444), (40.63239063815695, -73.95237428428345), (40.655367572848824, -73.7717261798615), (40.66799711757306, -73.87454885541851), (40.679806472780044, -73.94964692678631), (40.85269464798196, -73.91986694829528), (40.793896810579874, -73.96257923792638), (40.612401463282396, -74.10536282298523), (40.723223219369885, -73.99469808064109), (40.628058417239416, -74.0097624132055), (40.679480141999264, -73.9846987976113), (40.715665531661124, -73.9519147522937), (40.691457859931354, -73.91967823553955), (40.7582316290058, -73.91874091082295), (40.816327473439756, -73.94391718681067), (40.76670476368446, -73.95605250528531), (40.73624227664923, -73.80680912765447), (40.86214885169383, -73.85356317244526)]
14.102162457003237 [(40.660094214200136, -73.77123665793218), (40.766566694318534, -73.94737204915462), (40.85596569025847, -73.91590701639443), (40.86167359166876, -73.85177742229912), (40.76168065856564, -73.98554668247395), (40.7374179966682, -73.82049598816336), (40.69129067368737, -73.92107496414907), (40.8224234902431, -73.9423615852756), (40.66863693870715, -73.87416084186812), (40.75198848700622, -73.89878962177745), (40.64874070877373, -73.94719118968824), (40.79744482434416, -73.9570519008318), (40.5988288181024, -73.96906817596808), (40.612401463282396, -74.10536282298523), (40.716048590007304, -73.9519758614441), (40.68367985963255, -73.95529961618254), (40.739957140041625, -73.98791245646659), (40.71766491927394, -73.9963419275403), (40.66371901775339, -73.99463337285239)]
13.66656883525658 [(40.8147825057002, -73.94519705934967), (40.716624215706595, -73.95214047482308), (40.75586952366109, -73.98498229961217), (40.78463987592962, -73.96015587186608), (40.66874331679017, -73.8734766425827), (40.85238367565286, -73.92006066172019), (40.676822765393794, -73.98506597972246), (40.65540342754031, -73.7717623683075), (40.69184224323593, -73.91952800162841), (40.612401463282396, -74.10536282298523), (40.728365945061114, -73.99165782578125), (40.744710079380276, -73.8771758938949), (40.61589255000881, -73.99225706911714), (40.64594828135536, -73.94815879906572), (40.683281412326245, -73.94979425917084), (40.86214885169383, -73.85356317244526), (40.70957014606257, -74.00294082428564), (40.757932799219866, -73.92069694038233), (40.7364553637246, -73.80674548942773)]
14.259764438083135 [(40.65308889746051, -73.77389270816361), (40.763606138775685, -73.98847157244454), (40.72053224242181, -73.99577671104464), (40.68224952886297, -73.94586181354475), (40.679182383937246, -73.98311757526595), (40.85598561156641, -73.91585324808341), (40.822492904703296, -73.94237426391672), (40.79727531579069, -73.95670519032792), (40.71559040279512, -73.95158820668794), (40.63389371358414, -73.95115788889467), (40.628287751092465, -74.00930596342734), (40.75814434996717, -73.9185151109034), (40.7659614647762, -73.95661041124761), (40.7437306551479, -73.87623929869788), (40.743375248767485, -73.98582725970707), (40.612401463282396, -74.10536282298523), (40.73033187867134, -73.80982745502406), (40.68751991547825, -73.91025998272187), (40.86167359166876, -73.85177742229912)]
