18.435088418211045 [(40.731215904163086, -73.82278948125567), (40.847604925953256, -73.92435639565767), (40.657973177953295, -73.77338464265127), (40.74276810728472, -73.98072123718879), (40.6362223807376, -73.95363437481629), (40.66655776460066, -73.99203934906599), (40.61242116130835, -74.10516736815492), (40.764230695174696, -73.98779693704539), (40.68594602266535, -73.91398181555299), (40.69837288029595, -73.95116395221577), (40.86303337534127, -73.8556352611298), (40.807406477481294, -73.9511213415946), (40.720648872926745, -73.99617212531881), (40.752025306685674, -73.89899557933352), (40.768132483740565, -73.9478176547425)]
16.994030506116083 [(40.72277317767857, -73.99453791161218), (40.731212486991744, -73.82658138359103), (40.68583910456291, -73.91438402002919), (40.59362999760845, -73.7982628345352), (40.612439140058164, -74.10496927507432), (40.8058629221407, -73.95207859394101), (40.75308607716942, -73.90087007107921), (40.76451974995657, -73.95098559578949), (40.685612980793344, -73.76383036079244), (40.63643199218525, -73.95423455287333), (40.75614944567766, -73.98614685499531), (40.86319536377704, -73.8569245837047), (40.66754326086454, -73.99155222124905), (40.69927473899333, -73.95125358849775), (40.84609499648939, -73.9257975360857)]
17.816532536659285 [(40.8600309401383, -73.88190382928842), (40.74569711001991, -73.8829893144251), (40.64831823978784, -73.9454797442067), (40.59869251013299, -73.96823424146352), (40.81275588928356, -73.94847779492561), (40.75770800782884, -73.98395928292332), (40.76586168577843, -73.9361203366482), (40.612401463282396, -74.10536282298523), (40.71584919942018, -73.95163866138921), (40.65454590935544, -73.77346591740184), (40.68439552994637, -73.9521620960176), (40.66547173757615, -73.99360914126513), (40.72957589067209, -73.81376904062616), (40.688515740038184, -73.913242043085), (40.723254313202396, -73.99455310950594)]
17.717602953049013 [(40.73941485103564, -73.98913836140355), (40.68717037194357, -73.9134495871755), (40.680089733402625, -73.9523702276318), (40.79175489399563, -73.95511779388933), (40.76120063376451, -73.98309230169957), (40.86331164419375, -73.86493939128833), (40.658527298868876, -73.77348134807343), (40.73216952431506, -73.82525995817524), (40.62609630216931, -73.95414289607501), (40.83153995453651, -73.9367638288792), (40.71691825066923, -73.99596394846901), (40.71654271595727, -73.95115350826123), (40.612401463282396, -74.10536282298523), (40.754447436991036, -73.90623871491442), (40.663621013765905, -73.99419074524619)]
17.17497199590398 [(40.75596721175052, -73.98443353204168), (40.68764000111843, -73.90993394271351), (40.732432921577534, -73.82504426658794), (40.79075451249684, -73.95596084703762), (40.86329581298245, -73.86498646491735), (40.67974699842167, -73.98316392887207), (40.63404883402698, -73.95123363710836), (40.612401463282396, -74.10536282298523), (40.6825999731904, -73.94550295448065), (40.717218014328935, -73.95155421269789), (40.72379740309275, -73.99475776238334), (40.65853138201066, -73.77341191126207), (40.83082616222927, -73.93705937927028), (40.628287751092465, -74.00930596342734), (40.754514626381614, -73.90620954653787)]
16.756058515162586 [(40.77717871941088, -73.96059588449772), (40.6845307090125, -73.91764593691275), (40.62541860432716, -73.97513616449311), (40.862456839725056, -73.8540105348849), (40.68599986284914, -73.76409621496269), (40.72126830405069, -73.99470517743876), (40.675955188643435, -73.96521503666155), (40.810868031923576, -73.94840768711933), (40.75422979176804, -73.90566843141282), (40.612401463282396, -74.10536282298523), (40.713740144907334, -73.95061826682443), (40.59383615407917, -73.79842653237691), (40.8503114507163, -73.92160380679499), (40.73098511330966, -73.82870958135437), (40.75384925400124, -73.98654125994419)]
16.202145393886727 [(40.73208851266213, -73.82813405963428), (40.612401463282396, -74.10536282298523), (40.685880347060426, -73.76430116232011), (40.755611076718694, -73.98462979040077), (40.68686330523251, -73.9134211548537), (40.71648085950136, -73.95112825307079), (40.68000821892654, -73.95219226302844), (40.86329581298245, -73.86498646491735), (40.7545082838894, -73.90644229035371), (40.59362999760845, -73.7982628345352), (40.66537542625127, -73.99377346483669), (40.62564841281727, -73.95593797804072), (40.83069541136973, -73.9370989124799), (40.79055553470127, -73.95619090582186), (40.722648134526565, -73.9945997079203)]
17.21791454262259 [(40.86010241349354, -73.88219809496195), (40.665220311705866, -73.99405970551936), (40.678115354912116, -73.95386739574461), (40.69077156794996, -73.92108859543536), (40.69641224107207, -73.77312348382273), (40.76296885275197, -73.93073691408772), (40.62219241775466, -73.9582068143875), (40.723422730749746, -73.99453993157164), (40.74542122101302, -73.8601731108778), (40.66863802875907, -73.87785935741177), (40.59107591209707, -73.79675122960435), (40.716002175667164, -73.95206451637794), (40.75804761959337, -73.98335258993568), (40.81200374770192, -73.94852678497897), (40.612401463282396, -74.10536282298523)]
17.17497284150508 [(40.83082616222927, -73.93705937927028), (40.7545223771851, -73.90621831326261), (40.7237795831173, -73.99476095447939), (40.65853138201066, -73.77341191126207), (40.732432921577534, -73.82504426658794), (40.79075417991733, -73.9559813812848), (40.628287751092465, -74.00930596342734), (40.717218014328935, -73.95155421269789), (40.86329581298245, -73.86498646491735), (40.63404883402698, -73.95123363710836), (40.755944195474285, -73.984441221101), (40.68764000111843, -73.90993394271351), (40.612401463282396, -74.10536282298523), (40.6825999731904, -73.94550295448065), (40.67974699842167, -73.98316392887207)]
17.091298955554148 [(40.62818418279441, -74.00950833838854), (40.59362999760845, -73.7982628345352), (40.6859107148344, -73.76458122913688), (40.68241882568043, -73.94584683262049), (40.859588914903235, -73.88405279807112), (40.67987024406943, -73.98337510963478), (40.716944958285424, -73.95153549790831), (40.63424273051017, -73.95153512368806), (40.80899530079692, -73.9488095794087), (40.612401463282396, -74.10536282298523), (40.73284486320746, -73.82824852615278), (40.68770191919225, -73.9103153402143), (40.75467839607553, -73.90699727669461), (40.72499423475786, -73.99464016688941), (40.75965070872244, -73.98033213791098)]
16.987108473918756 [(40.80830562656446, -73.95026013049068), (40.6998362797398, -73.95133794102163), (40.76996686515964, -73.95786471249544), (40.68571739042535, -73.76411752413232), (40.722293343663324, -73.99452335181925), (40.61243816627101, -74.10476081568063), (40.68585822995213, -73.91450325989751), (40.84862473487922, -73.923282025729), (40.667620633347155, -73.99132592388857), (40.75445819472726, -73.98694569696464), (40.59362999760845, -73.7982628345352), (40.86286726337837, -73.85478622799597), (40.75408846365668, -73.90373590112134), (40.636477540407874, -73.95424726423231), (40.7317464614633, -73.82760819287253)]
17.26679712691406 [(40.658527298868876, -73.77348134807343), (40.612401463282396, -74.10536282298523), (40.722134328756624, -73.99454917367004), (40.75431229358008, -73.90554038778271), (40.77828163901825, -73.96071575878945), (40.862456839725056, -73.8540105348849), (40.75408473311507, -73.9863212215343), (40.85047039765183, -73.92138773883553), (40.6251276236089, -73.95551215421202), (40.81116194202805, -73.94821572523804), (40.665194636512254, -73.99375745594594), (40.73215055286031, -73.82512642688066), (40.679896613652346, -73.95221228086902), (40.686870558060896, -73.91337237487521), (40.716332913979485, -73.9511370818885)]
16.492623188676315 [(40.684911795733086, -73.92183599894497), (40.79058829257031, -73.95617577597245), (40.755568505591654, -73.9845836657089), (40.67616815764953, -73.96722349906698), (40.83073117378686, -73.93706093259736), (40.753308726575476, -73.81278329995423), (40.59107591209707, -73.79675122960435), (40.612401463282396, -74.10536282298523), (40.685879163419344, -73.76398871941316), (40.75450667410929, -73.90634559887701), (40.625708759651005, -73.97452625214773), (40.71503997229934, -73.95115590068438), (40.69888877677382, -73.85237287700262), (40.72247162183977, -73.99467926350891), (40.863902300700616, -73.86549906508304)]
17.10494392642294 [(40.660500425997796, -73.77177569000484), (40.71704531283681, -73.95192287337458), (40.83082616222927, -73.93705937927028), (40.678602774913415, -73.98546182161144), (40.73671602870817, -73.82349402614678), (40.72375709736027, -73.99475028043007), (40.75595291505773, -73.98443377326443), (40.612401463282396, -74.10536282298523), (40.75430644373406, -73.90604252808551), (40.66290040005315, -73.88298528511504), (40.79074001635969, -73.95594082499136), (40.692199585299825, -73.92064020438184), (40.675129116191336, -73.94977336072904), (40.86336103656219, -73.86506302337513), (40.62327195521282, -73.97523884713698)]
