42.045168640034596 [(40.61298822458907, -74.09926911393458), (40.81846385765859, -73.93768684364738), (40.69256485789919, -73.93283008011144), (40.682726372128144, -73.78983832465124), (40.74230635439226, -73.98462836116039), (40.65767463536304, -73.97266065065429), (40.7547067885579, -73.89211469138688)]
40.334181905233464 [(40.738423148544925, -73.9865763038656), (40.799428537769785, -73.95276366243793), (40.75070083646525, -73.89350051965998), (40.85665331316639, -73.89248229241163), (40.645268548766566, -73.9928553060803), (40.6887849363262, -73.93699817745387), (40.68311325031063, -73.78978636549591)]
44.27624375195019 [(40.754701081402295, -73.98526584649636), (40.68320379327291, -73.93234929634924), (40.84890777793425, -73.90725475140916), (40.63147103759338, -74.00284422170546), (40.71176331952457, -73.98014829378856), (40.697147954309415, -73.80299008019722), (40.7814613226187, -73.93466647072286)]
40.334288152071714 [(40.85682650071394, -73.8921179324472), (40.75069684687419, -73.89358612678188), (40.738379838092705, -73.98650441380764), (40.64526357667062, -73.99298225612726), (40.7995522139239, -73.95271261015688), (40.68867825972219, -73.93695420362654), (40.68324300143687, -73.78982686854015)]
40.334181905233464 [(40.68311325031063, -73.78978636549591), (40.738423148544925, -73.9865763038656), (40.645268548766566, -73.9928553060803), (40.75070083646525, -73.89350051965998), (40.85665331316639, -73.89248229241163), (40.799428537769785, -73.95276366243793), (40.6887849363262, -73.93699817745387)]
43.02980595716713 [(40.68776229706512, -73.96054696542612), (40.81891782449455, -73.93735839774372), (40.682867477846095, -73.78772448900102), (40.61669055552089, -74.01798156875621), (40.75512509274183, -73.89239400575121), (40.74382293063128, -73.98520316092427), (40.68288855189245, -73.91772318471583)]
43.02980595716714 [(40.682867477846095, -73.78772448900102), (40.74382293063128, -73.98520316092427), (40.68776229706512, -73.96054696542612), (40.68288855189245, -73.91772318471583), (40.61669055552089, -74.01798156875621), (40.75512509274183, -73.89239400575121), (40.81891782449455, -73.93735839774372)]
40.33418190523347 [(40.6887849363262, -73.93699817745387), (40.75070083646525, -73.89350051965998), (40.799428537769785, -73.95276366243793), (40.68311325031063, -73.78978636549591), (40.645268548766566, -73.9928553060803), (40.738423148544925, -73.9865763038656), (40.85665331316639, -73.89248229241163)]
40.33428328919757 [(40.79956846898719, -73.95269073906609), (40.73847338726442, -73.98659423674908), (40.6889128611887, -73.93697829752237), (40.856845908992554, -73.89209830193889), (40.64535692067212, -73.9925402369924), (40.68324300143687, -73.78982686854015), (40.75069684687419, -73.89358612678188)]
40.33421259396274 [(40.799428537769785, -73.95276366243793), (40.85665331316639, -73.89248229241163), (40.738371112129165, -73.98651413641198), (40.75069774957912, -73.89352535294789), (40.68867825972219, -73.93695420362654), (40.64526357667062, -73.99298225612726), (40.68315700482259, -73.7897995373146)]
44.42202737028132 [(40.69631805628038, -73.80047364861467), (40.63783301325524, -73.98751424621021), (40.79253661469476, -73.94334712390777), (40.751756320587674, -73.98561203985655), (40.708058552637134, -73.97892987777657), (40.85481095244783, -73.89471848105057), (40.695634986017424, -73.92366559627632)]
40.334288152071714 [(40.738379838092705, -73.98650441380764), (40.75069684687419, -73.89358612678188), (40.64526357667062, -73.99298225612726), (40.68867825972219, -73.93695420362654), (40.7995522139239, -73.95271261015688), (40.68324300143687, -73.78982686854015), (40.85682650071394, -73.8921179324472)]
40.33418451900078 [(40.85665331316639, -73.89248229241163), (40.799428537769785, -73.95276366243793), (40.68881029054228, -73.93700241178037), (40.68311325031063, -73.78978636549591), (40.73842973745066, -73.98658290513424), (40.64526331762715, -73.992798934944), (40.75070083646525, -73.89350051965998)]
40.334181905233464 [(40.738423148544925, -73.9865763038656), (40.6887849363262, -73.93699817745387), (40.799428537769785, -73.95276366243793), (40.75070083646525, -73.89350051965998), (40.85665331316639, -73.89248229241163), (40.645268548766566, -73.9928553060803), (40.68311325031063, -73.78978636549591)]
40.3342894401037 [(40.68324300143687, -73.78982686854015), (40.79955702351738, -73.95270728726607), (40.68867825972219, -73.93695420362654), (40.738379838092705, -73.98650441380764), (40.856845908992554, -73.89209830193889), (40.75069684687419, -73.89358612678188), (40.64526357667062, -73.99298225612726)]
40.33418190523347 [(40.75070083646525, -73.89350051965998), (40.645268548766566, -73.9928553060803), (40.738423148544925, -73.9865763038656), (40.68311325031063, -73.78978636549591), (40.85665331316639, -73.89248229241163), (40.6887849363262, -73.93699817745387), (40.799428537769785, -73.95276366243793)]
42.045523265644405 [(40.657556392422144, -73.97289028585166), (40.692548878896126, -73.93289226251646), (40.74233058370727, -73.98464983075607), (40.6127344355921, -74.10156510084762), (40.754688461158324, -73.89210697058347), (40.682726372128144, -73.78983832465124), (40.81846385765859, -73.93768684364738)]
43.89923486478126 [(40.66972393306309, -74.0092300732554), (40.68301124265064, -73.78966947199703), (40.75377791894922, -73.89186901246548), (40.82046165295072, -73.93636505192927), (40.746205266110856, -73.98353536480394), (40.63799085120868, -73.95033573619892), (40.69407055378811, -73.9379388063602)]
41.67385914642704 [(40.73718936138314, -73.98551997213015), (40.792756660427, -73.94817379264116), (40.707676229314586, -73.91696237996322), (40.61725817930899, -74.05995485481166), (40.69396407689961, -73.79627300773468), (40.666630332779626, -73.9598452246806), (40.85446783698793, -73.8950623628562)]
41.673879068271305 [(40.666603196992675, -73.9598771147248), (40.70766265121526, -73.91697135503739), (40.617232345294134, -74.06021691169137), (40.73718936138314, -73.98551997213015), (40.792756660427, -73.94817379264116), (40.85446783698793, -73.8950623628562), (40.69396407689961, -73.79627300773468)]
41.67385904008628 [(40.666630332779626, -73.9598452246806), (40.61725817930899, -74.05995485481166), (40.70767489289165, -73.9169575220306), (40.85446783698793, -73.8950623628562), (40.792756660427, -73.94817379264116), (40.73718768891622, -73.98551721058682), (40.69396407689961, -73.79627300773468)]
40.33418190523347 [(40.75070083646525, -73.89350051965998), (40.738423148544925, -73.9865763038656), (40.68311325031063, -73.78978636549591), (40.6887849363262, -73.93699817745387), (40.799428537769785, -73.95276366243793), (40.645268548766566, -73.9928553060803), (40.85665331316639, -73.89248229241163)]
42.04516864003459 [(40.7547067885579, -73.89211469138688), (40.81846385765859, -73.93768684364738), (40.74230635439226, -73.98462836116039), (40.65767463536304, -73.97266065065429), (40.682726372128144, -73.78983832465124), (40.69256485789919, -73.93283008011144), (40.61298822458907, -74.09926911393458)]
42.0451582763642 [(40.61298822458907, -74.09926911393458), (40.81846385765859, -73.93768684364738), (40.74233467894737, -73.98465403376912), (40.69260436342709, -73.9328790193395), (40.65767054667191, -73.97264983871278), (40.682726372128144, -73.78983832465124), (40.754688461158324, -73.89210697058347)]
43.02981882658842 [(40.61667510981374, -74.01811592080642), (40.68773629672892, -73.96056359915345), (40.68288321396395, -73.91774107684537), (40.743873744028036, -73.9851484637637), (40.81905565855322, -73.937284458131), (40.682867477846095, -73.78772448900102), (40.75509806813767, -73.89241207844745)]
44.27243119618005 [(40.754784583604625, -73.98509606205378), (40.63245388802477, -74.00170875781284), (40.71223860800561, -73.98059238198672), (40.85247281017955, -73.9012074281949), (40.69725976613052, -73.80315602570988), (40.683664518040224, -73.93241275382978), (40.7836202651673, -73.9351977740508)]
40.33418210458393 [(40.73842214250607, -73.98657291207971), (40.645268548766566, -73.9928553060803), (40.799428537769785, -73.95276366243793), (40.68311325031063, -73.78978636549591), (40.75070083646525, -73.89350051965998), (40.688781295677316, -73.93699710272749), (40.85665331316639, -73.89248229241163)]
40.33418190523347 [(40.85665331316639, -73.89248229241163), (40.6887849363262, -73.93699817745387), (40.645268548766566, -73.9928553060803), (40.75070083646525, -73.89350051965998), (40.799428537769785, -73.95276366243793), (40.738423148544925, -73.9865763038656), (40.68311325031063, -73.78978636549591)]
41.67413881883591 [(40.61730240485253, -74.05988519959932), (40.69402327046923, -73.79624298538933), (40.73717932317071, -73.98551860009925), (40.85446783698793, -73.8950623628562), (40.666667173379004, -73.95957802069216), (40.79282412077907, -73.94821988503168), (40.70796270618286, -73.91689310661167)]
