32.60370439603691 [(40.68172835670777, -73.91563467258092), (40.630498586785166, -74.00147921314345), (40.7207851422945, -73.99492812361856), (40.692589682471876, -73.9547936351099), (40.75771015251279, -73.97860125412048), (40.6832506851496, -73.78732540694716), (40.752496192983855, -73.89365189455873), (40.859432193920064, -73.88431321278671), (40.80865869219269, -73.94888902333093)]
30.88505966342792 [(40.75424536260709, -73.9074552848446), (40.69240533175037, -73.93337029330016), (40.73866861803145, -73.98686853957136), (40.612693068748875, -74.10195882301153), (40.658129400089265, -73.77334159858134), (40.856913164568915, -73.89200222967867), (40.656643198201095, -73.97293407532551), (40.72781985579417, -73.82926471819937), (40.80026821348329, -73.95303226987176)]
33.45471336903629 [(40.75203441796396, -73.90100568575205), (40.70681571854486, -73.78795108367815), (40.715054597552246, -73.98610484340264), (40.80721666582692, -73.94946766939653), (40.64791771476729, -73.86662945283261), (40.633633126778214, -73.99908533246261), (40.75623597054621, -73.98158078900202), (40.859099676081335, -73.88519118714292), (40.68779527510916, -73.93817388272703)]
32.60370439603691 [(40.6832506851496, -73.78732540694716), (40.7207851422945, -73.99492812361856), (40.859432193920064, -73.88431321278671), (40.80865869219269, -73.94888902333093), (40.692589682471876, -73.9547936351099), (40.75771015251279, -73.97860125412048), (40.630498586785166, -74.00147921314345), (40.68172835670777, -73.91563467258092), (40.752496192983855, -73.89365189455873)]
32.024035322234695 [(40.61665390064756, -74.0181447274181), (40.68764878784092, -73.96078084879967), (40.68283465064678, -73.9185027887124), (40.731563611332454, -73.82659177975837), (40.75381946440736, -73.90814318712205), (40.800698314565025, -73.95272497443085), (40.8571626330261, -73.89141918530501), (40.6585036477789, -73.77355179185679), (40.74044007579728, -73.98785401856306)]
30.823370171540596 [(40.75223200797551, -73.8944077039392), (40.74069516897078, -73.9883165358457), (40.683503391748914, -73.78792606928707), (40.856889809275884, -73.89202594288501), (40.64373886798875, -73.97381008618872), (40.612439140058164, -74.10496927507432), (40.799868550309604, -73.95250921560496), (40.68401412860745, -73.9170438702495), (40.698213856954496, -73.95726336852431)]
30.823383295993168 [(40.79989586449083, -73.95249521197924), (40.74069596869883, -73.98831972379342), (40.7522298515605, -73.89443286877801), (40.85693699439703, -73.89191858677825), (40.6840118211319, -73.9170400252104), (40.643772120775104, -73.97382475577992), (40.612439140058164, -74.10496927507432), (40.69822746938478, -73.9572456657195), (40.68354712242498, -73.7879415113766)]
32.60370439603691 [(40.859432193920064, -73.88431321278671), (40.6832506851496, -73.78732540694716), (40.75771015251279, -73.97860125412048), (40.692589682471876, -73.9547936351099), (40.80865869219269, -73.94888902333093), (40.68172835670777, -73.91563467258092), (40.752496192983855, -73.89365189455873), (40.7207851422945, -73.99492812361856), (40.630498586785166, -74.00147921314345)]
30.823375125749365 [(40.799868550309604, -73.95250921560496), (40.69822746938478, -73.9572456657195), (40.6840118211319, -73.9170400252104), (40.683503391748914, -73.78792606928707), (40.612439140058164, -74.10496927507432), (40.74069596869883, -73.98831972379342), (40.75223200797551, -73.8944077039392), (40.856889809275884, -73.89202594288501), (40.643772120775104, -73.97382475577992)]
30.881645907150023 [(40.71582561945942, -73.98531780552769), (40.75642973093704, -73.98118712212893), (40.75180859108217, -73.8935874791508), (40.85911706577794, -73.88555157484772), (40.68320108756398, -73.78949215844689), (40.612530290433625, -74.10334682811609), (40.64827708573799, -73.97065558182422), (40.68999732857398, -73.93088925456075), (40.80688491319107, -73.94934278525172)]
